customer_id,period,spend,txns,eligible_spend,cashback,segment,region,group,tenure_months,post,treat
48,pre,2130.85,55.0,528.58,0.0,Digital Native,Northeast,treatment,78,0,1
48,post,2158.76,52.0,796.36,23.88,Digital Native,Northeast,treatment,78,1,1
49,pre,1015.25,24.0,71.04,0.0,Budget Occasional,Midwest,treatment,71,0,1
49,post,617.95,16.0,79.56,2.39,Budget Occasional,Midwest,treatment,71,1,1
50,pre,1202.22,18.0,65.4,0.0,Dormant Reactivation,West,control,17,0,0
50,post,756.31,22.0,60.03,0.0,Dormant Reactivation,West,control,17,1,0
51,pre,3042.08,35.0,295.9,0.0,Mainstream,Midwest,treatment,65,0,1
51,post,1520.26,28.0,97.11,2.91,Mainstream,Midwest,treatment,65,1,1
52,pre,658.01,18.0,93.24,0.0,Digital Native,Midwest,treatment,98,0,1
52,post,567.05,18.0,121.64,3.65,Digital Native,Midwest,treatment,98,1,1
53,pre,590.4,11.0,105.53999999999999,0.0,Mainstream,Southeast,treatment,24,0,1
53,post,928.4300000000001,14.0,105.30000000000001,3.16,Mainstream,Southeast,treatment,24,1,1
54,pre,123.9,3.0,0.0,0.0,Budget Occasional,Southeast,control,28,0,0
54,post,272.07,10.0,41.31,0.0,Budget Occasional,Southeast,control,28,1,0
55,pre,980.84,21.0,341.61,0.0,Mainstream,Northeast,control,33,0,0
55,post,853.67,16.0,87.42,0.0,Mainstream,Northeast,control,33,1,0
56,pre,5467.48,37.0,1036.49,0.0,Affluent Frequent,Southeast,treatment,36,0,1
56,post,3730.41,34.0,369.34000000000003,11.08,Affluent Frequent,Southeast,treatment,36,1,1
57,pre,1113.83,21.0,227.88,0.0,Digital Native,Midwest,control,55,0,0
57,post,860.53,22.0,188.75,0.0,Digital Native,Midwest,control,55,1,0
58,pre,541.38,19.0,76.62,0.0,Budget Occasional,Midwest,treatment,29,0,1
58,post,645.63,17.0,88.78999999999999,2.66,Budget Occasional,Midwest,treatment,29,1,1
59,pre,359.42,12.0,0.0,0.0,Budget Occasional,Southeast,treatment,76,0,1
59,post,439.5,14.0,70.19,2.11,Budget Occasional,Southeast,treatment,76,1,1
60,pre,158.18,5.0,0.0,0.0,Dormant Reactivation,Northeast,control,101,0,0
60,post,190.69,2.0,0.0,0.0,Dormant Reactivation,Northeast,control,101,1,0
61,pre,427.09000000000003,12.0,293.88,0.0,Digital Native,West,control,35,0,0
61,post,508.81,8.0,44.6,0.0,Digital Native,West,control,35,1,0
62,pre,909.78,22.0,39.53,0.0,Budget Occasional,Southeast,treatment,59,0,1
62,post,521.69,18.0,60.019999999999996,1.79,Budget Occasional,Southeast,treatment,59,1,1
63,pre,69.61,4.0,37.46,0.0,Dormant Reactivation,Northeast,treatment,72,0,1
63,post,28.84,1.0,0.0,0.0,Dormant Reactivation,Northeast,treatment,72,1,1
64,pre,1567.42,24.0,282.3,0.0,Mainstream,Northeast,treatment,23,0,1
64,post,1378.26,28.0,455.9,13.670000000000002,Mainstream,Northeast,treatment,23,1,1
65,pre,3837.37,41.0,1251.38,0.0,Affluent Frequent,Northeast,treatment,95,0,1
65,post,3657.22,41.0,1151.54,34.55,Affluent Frequent,Northeast,treatment,95,1,1
66,pre,271.81,6.0,44.629999999999995,0.0,Mainstream,Southeast,control,76,0,0
66,post,605.14,6.0,69.44,0.0,Mainstream,Southeast,control,76,1,0
67,pre,400.64,10.0,61.989999999999995,0.0,Budget Occasional,West,control,44,0,0
67,post,283.91999999999996,8.0,0.0,0.0,Budget Occasional,West,control,44,1,0
68,pre,1040.86,14.0,76.39,0.0,Affluent Frequent,Midwest,treatment,52,0,1
68,post,2052.38,20.0,779.74,23.38,Affluent Frequent,Midwest,treatment,52,1,1
69,pre,363.25,12.0,13.96,0.0,Dormant Reactivation,Northeast,control,13,0,0
69,post,782.11,18.0,99.85,0.0,Dormant Reactivation,Northeast,control,13,1,0
70,pre,225.38,5.0,27.35,0.0,Budget Occasional,Northeast,treatment,28,0,1
70,post,220.22,6.0,22.42,0.67,Budget Occasional,Northeast,treatment,28,1,1
71,pre,989.9399999999999,22.0,135.04,0.0,Mainstream,Southeast,treatment,28,0,1
71,post,920.21,20.0,252.86,7.59,Mainstream,Southeast,treatment,28,1,1
72,pre,141.8,2.0,0.0,0.0,Dormant Reactivation,Northeast,control,4,0,0
72,post,262.84000000000003,7.0,32.74,0.0,Dormant Reactivation,Northeast,control,4,1,0
73,pre,976.92,9.0,54.25,0.0,Mainstream,West,control,49,0,0
73,post,972.6700000000001,14.0,227.78,0.0,Mainstream,West,control,49,1,0
74,pre,772.97,12.0,334.1,0.0,Affluent Frequent,Midwest,treatment,74,0,1
74,post,1445.21,15.0,147.79,4.43,Affluent Frequent,Midwest,treatment,74,1,1
75,pre,4189.33,44.0,873.53,0.0,Affluent Frequent,Northeast,treatment,28,0,1
75,post,4845.62,45.0,1573.66,47.2,Affluent Frequent,Northeast,treatment,28,1,1
76,pre,2585.73,35.0,187.84,0.0,Mainstream,Southwest,control,79,0,0
76,post,1192.85,26.0,104.4,0.0,Mainstream,Southwest,control,79,1,0
77,pre,1071.98,24.0,146.54,0.0,Mainstream,Southeast,treatment,49,0,1
77,post,1432.3899999999999,28.0,222.65,6.68,Mainstream,Southeast,treatment,49,1,1
78,pre,567.59,14.0,21.51,0.0,Budget Occasional,West,control,107,0,0
78,post,687.18,13.0,61.54,0.0,Budget Occasional,West,control,107,1,0
79,pre,4417.69,40.0,643.0,0.0,Affluent Frequent,Northeast,treatment,47,0,1
79,post,4675.44,55.0,1162.5,34.86,Affluent Frequent,Northeast,treatment,47,1,1
80,pre,841.1800000000001,8.0,203.55,0.0,Affluent Frequent,West,control,110,0,0
80,post,1489.54,11.0,140.97,0.0,Affluent Frequent,West,control,110,1,0
81,pre,932.8100000000001,22.0,247.35,0.0,Digital Native,Southeast,treatment,19,0,1
81,post,907.73,27.0,238.29,7.140000000000001,Digital Native,Southeast,treatment,19,1,1
82,pre,1082.74,20.0,178.77,0.0,Digital Native,Northeast,treatment,36,0,1
82,post,723.51,16.0,109.4,3.29,Digital Native,Northeast,treatment,36,1,1
83,pre,1393.5,36.0,249.36,0.0,Digital Native,West,treatment,28,0,1
83,post,1720.06,37.0,439.59000000000003,13.2,Digital Native,West,treatment,28,1,1
84,pre,38.04,1.0,0.0,0.0,Dormant Reactivation,Midwest,treatment,37,0,1
84,post,195.71,4.0,12.79,0.38,Dormant Reactivation,Midwest,treatment,37,1,1
85,pre,885.82,16.0,50.35,0.0,Mainstream,Midwest,treatment,67,0,1
85,post,981.68,15.0,187.98000000000002,5.640000000000001,Mainstream,Midwest,treatment,67,1,1
86,pre,143.94,3.0,0.0,0.0,Budget Occasional,Midwest,control,98,0,0
86,post,317.98,9.0,51.19,0.0,Budget Occasional,Midwest,control,98,1,0
87,pre,103.23,4.0,0.0,0.0,Dormant Reactivation,Midwest,treatment,118,0,1
87,post,442.58,8.0,0.0,0.0,Dormant Reactivation,Midwest,treatment,118,1,1
88,pre,3475.07,45.0,620.46,0.0,Affluent Frequent,Southwest,treatment,58,0,1
88,post,3921.61,42.0,1482.66,44.5,Affluent Frequent,Southwest,treatment,58,1,1
89,pre,217.68,10.0,79.1,0.0,Budget Occasional,West,control,6,0,0
89,post,725.05,15.0,120.8,0.0,Budget Occasional,West,control,6,1,0
90,pre,1828.44,36.0,263.62,0.0,Mainstream,West,control,45,0,0
90,post,1591.89,21.0,225.96,0.0,Mainstream,West,control,45,1,0
91,pre,1429.6499999999999,26.0,447.61,0.0,Mainstream,West,treatment,71,0,1
91,post,786.35,14.0,171.86,5.15,Mainstream,West,treatment,71,1,1
92,pre,1153.37,31.0,290.51,0.0,Digital Native,Southeast,control,38,0,0
92,post,1585.69,38.0,438.67,0.0,Digital Native,Southeast,control,38,1,0
93,pre,1798.4,42.0,629.86,0.0,Digital Native,West,treatment,7,0,1
93,post,1765.29,34.0,252.24,7.55,Digital Native,West,treatment,7,1,1
94,pre,1758.75,34.0,290.72,0.0,Digital Native,West,treatment,107,0,1
94,post,1203.86,30.0,401.77,12.040000000000001,Digital Native,West,treatment,107,1,1
95,pre,631.32,15.0,151.68,0.0,Digital Native,West,treatment,98,0,1
95,post,1085.11,20.0,502.14,15.05,Digital Native,West,treatment,98,1,1
96,pre,305.65999999999997,6.0,0.0,0.0,Dormant Reactivation,West,control,40,0,0
96,post,56.6,1.0,0.0,0.0,Dormant Reactivation,West,control,40,1,0
97,pre,273.08,8.0,8.94,0.0,Budget Occasional,Midwest,treatment,50,0,1
97,post,99.65,4.0,15.59,0.47,Budget Occasional,Midwest,treatment,50,1,1
98,pre,1130.97,14.0,48.61,0.0,Mainstream,West,control,71,0,0
98,post,1256.11,19.0,368.09,0.0,Mainstream,West,control,71,1,0
99,pre,380.84,5.0,24.85,0.0,Budget Occasional,West,treatment,40,0,1
99,post,60.25,2.0,39.64,1.19,Budget Occasional,West,treatment,40,1,1
100,pre,759.09,16.0,192.47,0.0,Budget Occasional,Midwest,control,99,0,0
100,post,439.49,13.0,17.0,0.0,Budget Occasional,Midwest,control,99,1,0
101,pre,494.28999999999996,9.0,111.72999999999999,0.0,Mainstream,Northeast,control,89,0,0
101,post,841.36,11.0,34.39,0.0,Mainstream,Northeast,control,89,1,0
102,pre,593.12,13.0,67.35,0.0,Budget Occasional,Northeast,control,17,0,0
102,post,447.88,15.0,56.65,0.0,Budget Occasional,Northeast,control,17,1,0
103,pre,190.94,6.0,78.95,0.0,Dormant Reactivation,West,control,57,0,0
103,post,133.32999999999998,6.0,63.2,0.0,Dormant Reactivation,West,control,57,1,0
104,pre,779.53,19.0,190.03,0.0,Mainstream,Southwest,control,13,0,0
104,post,1418.07,18.0,62.89,0.0,Mainstream,Southwest,control,13,1,0
105,pre,394.14,8.0,70.11,0.0,Dormant Reactivation,Northeast,treatment,116,0,1
105,post,94.6,2.0,0.0,0.0,Dormant Reactivation,Northeast,treatment,116,1,1
106,pre,72.96,3.0,15.17,0.0,Dormant Reactivation,Southeast,control,106,0,0
106,post,13.52,1.0,13.52,0.0,Dormant Reactivation,Southeast,control,106,1,0
107,pre,1331.04,32.0,167.03,0.0,Digital Native,Southeast,treatment,5,0,1
107,post,1472.78,40.0,476.77,14.290000000000001,Digital Native,Southeast,treatment,5,1,1
108,pre,425.5,9.0,63.400000000000006,0.0,Dormant Reactivation,Midwest,control,89,0,0
108,post,132.05,4.0,0.0,0.0,Dormant Reactivation,Midwest,control,89,1,0
109,pre,3864.45,37.0,660.77,0.0,Affluent Frequent,Southeast,control,82,0,0
109,post,4760.25,45.0,804.22,0.0,Affluent Frequent,Southeast,control,82,1,0
110,pre,1554.01,23.0,248.32,0.0,Mainstream,Midwest,treatment,68,0,1
110,post,1464.35,25.0,120.52000000000001,3.6199999999999997,Mainstream,Midwest,treatment,68,1,1
111,pre,1185.36,21.0,224.11,0.0,Mainstream,Southwest,treatment,39,0,1
111,post,1299.11,28.0,161.05,4.82,Mainstream,Southwest,treatment,39,1,1
112,pre,904.28,15.0,102.05,0.0,Mainstream,Southeast,treatment,47,0,1
112,post,958.43,16.0,116.08,3.48,Mainstream,Southeast,treatment,47,1,1
113,pre,275.65,8.0,10.0,0.0,Budget Occasional,Northeast,control,77,0,0
113,post,671.14,17.0,11.13,0.0,Budget Occasional,Northeast,control,77,1,0
114,pre,162.07999999999998,5.0,64.62,0.0,Mainstream,West,control,8,0,0
114,post,306.96,6.0,11.09,0.0,Mainstream,West,control,8,1,0
115,pre,879.57,10.0,151.15,0.0,Affluent Frequent,Midwest,control,16,0,0
115,post,897.52,11.0,181.88,0.0,Affluent Frequent,Midwest,control,16,1,0
116,pre,1184.47,20.0,275.26,0.0,Mainstream,Southwest,treatment,27,0,1
116,post,1335.13,21.0,96.24000000000001,2.89,Mainstream,Southwest,treatment,27,1,1
117,pre,665.22,18.0,122.21,0.0,Budget Occasional,Northeast,treatment,24,0,1
117,post,606.15,18.0,128.79,3.87,Budget Occasional,Northeast,treatment,24,1,1
118,pre,6148.03,72.0,1499.1,0.0,Affluent Frequent,Southeast,treatment,81,0,1
118,post,4078.36,56.0,958.53,28.78,Affluent Frequent,Southeast,treatment,81,1,1
119,pre,1716.48,24.0,216.94,0.0,Mainstream,Midwest,control,108,0,0
119,post,2835.57,35.0,484.97,0.0,Mainstream,Midwest,control,108,1,0
120,pre,1153.71,18.0,163.98000000000002,0.0,Mainstream,Southwest,treatment,64,0,1
120,post,1139.43,20.0,255.63,7.67,Mainstream,Southwest,treatment,64,1,1
121,pre,1212.1,12.0,31.45,0.0,Mainstream,Midwest,control,21,0,0
121,post,1147.3600000000001,17.0,242.71,0.0,Mainstream,Midwest,control,21,1,0
122,pre,1661.05,34.0,239.55,0.0,Digital Native,Southwest,control,108,0,0
122,post,1311.2,30.0,220.32,0.0,Digital Native,Southwest,control,108,1,0
123,pre,475.26,12.0,0.0,0.0,Budget Occasional,West,treatment,116,0,1
123,post,205.18,5.0,37.32,1.12,Budget Occasional,West,treatment,116,1,1
124,pre,5093.38,52.0,875.14,0.0,Affluent Frequent,Southeast,control,91,0,0
124,post,4728.04,47.0,1112.19,0.0,Affluent Frequent,Southeast,control,91,1,0
125,pre,2091.39,55.0,766.59,0.0,Digital Native,West,treatment,28,0,1
125,post,2807.93,58.0,775.98,23.259999999999998,Digital Native,West,treatment,28,1,1
126,pre,524.59,9.0,174.05,0.0,Mainstream,Northeast,treatment,110,0,1
126,post,908.33,17.0,71.30000000000001,2.14,Mainstream,Northeast,treatment,110,1,1
127,pre,4770.96,59.0,977.16,0.0,Affluent Frequent,West,control,112,0,0
127,post,7235.37,76.0,1727.97,0.0,Affluent Frequent,West,control,112,1,0
128,pre,131.71,3.0,9.91,0.0,Dormant Reactivation,Northeast,control,12,0,0
128,post,51.82,3.0,10.54,0.0,Dormant Reactivation,Northeast,control,12,1,0
129,pre,3716.41,43.0,656.92,0.0,Affluent Frequent,Midwest,control,20,0,0
129,post,3064.92,33.0,500.15000000000003,0.0,Affluent Frequent,Midwest,control,20,1,0
130,pre,992.24,14.0,358.51,0.0,Affluent Frequent,West,control,4,0,0
130,post,1317.18,9.0,397.43,0.0,Affluent Frequent,West,control,4,1,0
131,pre,351.64,16.0,125.15,0.0,Budget Occasional,Northeast,control,67,0,0
131,post,362.46000000000004,7.0,0.0,0.0,Budget Occasional,Northeast,control,67,1,0
132,pre,789.08,21.0,121.58,0.0,Budget Occasional,Northeast,control,109,0,0
132,post,819.96,24.0,73.16,0.0,Budget Occasional,Northeast,control,109,1,0
133,pre,2863.43,36.0,332.92,0.0,Mainstream,Northeast,control,35,0,0
133,post,1898.13,29.0,140.07999999999998,0.0,Mainstream,Northeast,control,35,1,0
134,pre,1933.3999999999999,28.0,636.22,0.0,Mainstream,Midwest,treatment,106,0,1
134,post,1939.88,36.0,291.51,8.74,Mainstream,Midwest,treatment,106,1,1
135,pre,2444.32,53.0,335.91999999999996,0.0,Digital Native,West,treatment,51,0,1
135,post,2533.96,59.0,916.53,27.49,Digital Native,West,treatment,51,1,1
136,pre,4011.8599999999997,32.0,80.58,0.0,Affluent Frequent,Southwest,treatment,68,0,1
136,post,3655.57,41.0,1093.3,32.81,Affluent Frequent,Southwest,treatment,68,1,1
137,pre,324.59000000000003,9.0,0.0,0.0,Budget Occasional,Northeast,control,15,0,0
137,post,355.29,9.0,23.71,0.0,Budget Occasional,Northeast,control,15,1,0
138,pre,338.98,6.0,20.88,0.0,Budget Occasional,Northeast,treatment,88,0,1
138,post,250.72,8.0,23.94,0.72,Budget Occasional,Northeast,treatment,88,1,1
139,pre,5690.7,62.0,1244.75,0.0,Affluent Frequent,Northeast,treatment,81,0,1
139,post,7633.52,73.0,1152.24,34.56,Affluent Frequent,Northeast,treatment,81,1,1
140,pre,89.99,2.0,0.0,0.0,Dormant Reactivation,Southwest,control,13,0,0
140,post,109.24000000000001,3.0,48.52,0.0,Dormant Reactivation,Southwest,control,13,1,0
141,pre,53.63,1.0,0.0,0.0,Mainstream,Southeast,treatment,12,0,1
141,post,66.97,2.0,23.98,0.72,Mainstream,Southeast,treatment,12,1,1
142,pre,765.05,12.0,133.45999999999998,0.0,Budget Occasional,West,control,31,0,0
142,post,905.4399999999999,17.0,16.85,0.0,Budget Occasional,West,control,31,1,0
143,pre,26.68,1.0,0.0,0.0,Budget Occasional,Northeast,treatment,97,0,1
143,post,69.97,4.0,10.75,0.32,Budget Occasional,Northeast,treatment,97,1,1
144,pre,325.55,6.0,50.09,0.0,Dormant Reactivation,Northeast,control,52,0,0
144,post,397.12,8.0,35.01,0.0,Dormant Reactivation,Northeast,control,52,1,0
145,pre,177.4,6.0,19.16,0.0,Budget Occasional,Southeast,treatment,40,0,1
145,post,191.54999999999998,6.0,51.88,1.55,Budget Occasional,Southeast,treatment,40,1,1
146,pre,381.69,9.0,46.04,0.0,Budget Occasional,Southeast,control,61,0,0
146,post,419.76,9.0,26.65,0.0,Budget Occasional,Southeast,control,61,1,0
147,pre,8505.5,79.0,2202.82,0.0,Affluent Frequent,West,control,52,0,0
147,post,12002.38,99.0,1749.64,0.0,Affluent Frequent,West,control,52,1,0
148,pre,200.5,6.0,0.0,0.0,Budget Occasional,West,control,6,0,0
148,post,109.88,4.0,43.33,0.0,Budget Occasional,West,control,6,1,0
149,pre,618.93,14.0,71.22999999999999,0.0,Digital Native,Midwest,control,104,0,0
149,post,1264.71,32.0,132.48000000000002,0.0,Digital Native,Midwest,control,104,1,0
150,pre,3374.91,44.0,880.81,0.0,Affluent Frequent,Southwest,control,30,0,0
150,post,4355.63,49.0,907.34,0.0,Affluent Frequent,Southwest,control,30,1,0
151,pre,6803.26,73.0,1880.86,0.0,Affluent Frequent,West,control,29,0,0
151,post,5723.04,59.0,1327.36,0.0,Affluent Frequent,West,control,29,1,0
152,pre,3182.27,58.0,924.2,0.0,Digital Native,West,control,73,0,0
152,post,2573.86,44.0,738.31,0.0,Digital Native,West,control,73,1,0
153,pre,1076.0,31.0,97.8,0.0,Budget Occasional,West,treatment,73,0,1
153,post,497.45000000000005,13.0,0.0,0.0,Budget Occasional,West,treatment,73,1,1
154,pre,2822.83,63.0,437.64,0.0,Digital Native,Southwest,control,114,0,0
154,post,1193.75,39.0,253.78,0.0,Digital Native,Southwest,control,114,1,0
155,pre,1933.68,34.0,385.63,0.0,Mainstream,Southeast,treatment,48,0,1
155,post,1552.76,31.0,174.69,5.24,Mainstream,Southeast,treatment,48,1,1
156,pre,1214.04,11.0,251.81,0.0,Affluent Frequent,West,treatment,117,0,1
156,post,439.53999999999996,6.0,103.94,3.12,Affluent Frequent,West,treatment,117,1,1
157,pre,2265.36,21.0,56.15,0.0,Mainstream,Southeast,treatment,37,0,1
157,post,1632.98,29.0,329.01,9.87,Mainstream,Southeast,treatment,37,1,1
158,pre,1608.3,17.0,614.02,0.0,Affluent Frequent,Southeast,treatment,71,0,1
158,post,1976.76,18.0,456.86,13.700000000000001,Affluent Frequent,Southeast,treatment,71,1,1
159,pre,3618.22,31.0,471.0,0.0,Affluent Frequent,West,treatment,83,0,1
159,post,5267.26,53.0,1356.93,40.74,Affluent Frequent,West,treatment,83,1,1
160,pre,564.8,11.0,0.0,0.0,Mainstream,Southeast,control,34,0,0
160,post,788.69,15.0,105.67,0.0,Mainstream,Southeast,control,34,1,0
161,pre,360.97,11.0,29.14,0.0,Budget Occasional,Southeast,control,32,0,0
161,post,382.08,14.0,25.05,0.0,Budget Occasional,Southeast,control,32,1,0
162,pre,422.5,11.0,133.42000000000002,0.0,Dormant Reactivation,West,control,89,0,0
162,post,546.04,15.0,129.82,0.0,Dormant Reactivation,West,control,89,1,0
