txn_date,customer_id,segment,region,test_group,merchant_category,is_eligible_category,period,study_week,amount,cashback_earned
2025-01-13,7745,Mainstream,Southeast,control,OnlineRetail,False,pre,1,62.82,0.0
2025-01-13,7005,Affluent Frequent,Midwest,treatment,Dining,True,pre,1,37.09,0.0
2025-01-13,7419,Mainstream,West,control,Grocery,False,pre,1,16.88,0.0
2025-01-13,3175,Digital Native,West,treatment,Electronics,False,pre,1,89.94,0.0
2025-01-13,8974,Mainstream,Midwest,treatment,Apparel,False,pre,1,17.89,0.0
2025-01-13,4924,Mainstream,Northeast,treatment,Grocery,False,pre,1,36.98,0.0
2025-01-13,2176,Affluent Frequent,Southeast,treatment,Entertainment,True,pre,1,66.24,0.0
2025-01-13,7430,Mainstream,Southeast,treatment,Grocery,False,pre,1,24.7,0.0
2025-01-13,6487,Mainstream,Southeast,treatment,Fuel,False,pre,1,31.46,0.0
2025-01-13,4188,Mainstream,West,treatment,Grocery,False,pre,1,23.34,0.0
2025-01-13,1389,Digital Native,Southeast,treatment,Fuel,False,pre,1,11.72,0.0
2025-01-13,4658,Digital Native,Northeast,treatment,Entertainment,True,pre,1,37.59,0.0
2025-01-13,2045,Digital Native,West,control,Fuel,False,pre,1,20.61,0.0
2025-01-13,3496,Affluent Frequent,West,treatment,Dining,True,pre,1,30.96,0.0
2025-01-13,4149,Affluent Frequent,Midwest,control,OnlineRetail,False,pre,1,217.17,0.0
2025-01-13,236,Budget Occasional,Southwest,control,Grocery,False,pre,1,20.89,0.0
2025-01-13,9761,Affluent Frequent,West,control,Apparel,False,pre,1,243.16,0.0
2025-01-13,9453,Affluent Frequent,Southwest,control,OnlineRetail,False,pre,1,43.73,0.0
2025-01-13,3666,Mainstream,Midwest,control,Dining,True,pre,1,117.23,0.0
2025-01-13,3132,Mainstream,Northeast,treatment,Grocery,False,pre,1,32.83,0.0
2025-01-13,2426,Affluent Frequent,Northeast,control,Entertainment,True,pre,1,132.18,0.0
2025-01-13,3849,Affluent Frequent,West,control,Travel,False,pre,1,253.24,0.0
2025-01-13,9430,Affluent Frequent,Southwest,control,Entertainment,True,pre,1,68.56,0.0
2025-01-13,8575,Mainstream,West,control,Entertainment,True,pre,1,70.09,0.0
2025-01-13,4151,Mainstream,Southwest,treatment,OnlineRetail,False,pre,1,29.56,0.0
2025-01-13,6286,Digital Native,Southwest,control,Fuel,False,pre,1,15.81,0.0
2025-01-13,9484,Digital Native,Southeast,treatment,Fuel,False,pre,1,14.19,0.0
2025-01-13,2208,Digital Native,Northeast,treatment,Grocery,False,pre,1,94.9,0.0
2025-01-13,7926,Digital Native,Southwest,control,Grocery,False,pre,1,28.23,0.0
2025-01-13,8628,Digital Native,West,treatment,Entertainment,True,pre,1,23.77,0.0
2025-01-13,5371,Mainstream,West,treatment,Fuel,False,pre,1,20.37,0.0
2025-01-13,6450,Digital Native,West,treatment,Travel,False,pre,1,127.07,0.0
2025-01-13,126,Mainstream,Northeast,treatment,Electronics,False,pre,1,109.88,0.0
2025-01-13,301,Budget Occasional,Midwest,control,Fuel,False,pre,1,9.31,0.0
2025-01-13,3549,Mainstream,Northeast,treatment,Apparel,False,pre,1,61.67,0.0
2025-01-13,2535,Affluent Frequent,Southeast,control,Apparel,False,pre,1,102.33,0.0
2025-01-13,6013,Affluent Frequent,Southwest,control,Grocery,False,pre,1,30.69,0.0
2025-01-13,1680,Affluent Frequent,Midwest,treatment,Grocery,False,pre,1,35.51,0.0
2025-01-13,1833,Affluent Frequent,Midwest,treatment,OnlineRetail,False,pre,1,131.97,0.0
2025-01-13,2394,Digital Native,West,treatment,Grocery,False,pre,1,41.74,0.0
2025-01-13,1234,Affluent Frequent,Southwest,treatment,OnlineRetail,False,pre,1,36.55,0.0
2025-01-13,7991,Digital Native,Northeast,control,Apparel,False,pre,1,30.25,0.0
2025-01-13,3541,Digital Native,Southeast,control,OnlineRetail,False,pre,1,18.26,0.0
2025-01-13,4746,Digital Native,Southeast,control,Entertainment,True,pre,1,57.93,0.0
2025-01-13,4286,Affluent Frequent,Northeast,treatment,Electronics,False,pre,1,155.81,0.0
2025-01-13,6371,Mainstream,West,control,Dining,True,pre,1,60.76,0.0
2025-01-13,9437,Digital Native,Midwest,control,Apparel,False,pre,1,12.11,0.0
2025-01-13,3277,Digital Native,Northeast,control,Apparel,False,pre,1,30.41,0.0
2025-01-13,39,Digital Native,Southeast,treatment,Dining,True,pre,1,37.68,0.0
2025-01-13,7531,Digital Native,Northeast,treatment,Grocery,False,pre,1,35.54,0.0
2025-01-13,1255,Budget Occasional,Southeast,treatment,Entertainment,True,pre,1,8.39,0.0
2025-01-13,2943,Digital Native,Northeast,control,Grocery,False,pre,1,30.14,0.0
2025-01-13,3848,Affluent Frequent,West,treatment,Entertainment,True,pre,1,67.49,0.0
2025-01-13,3466,Mainstream,West,treatment,Electronics,False,pre,1,202.01,0.0
2025-01-13,7538,Digital Native,Southeast,control,Fuel,False,pre,1,13.22,0.0
2025-01-13,3962,Digital Native,Southeast,treatment,Fuel,False,pre,1,15.35,0.0
2025-01-13,5298,Affluent Frequent,West,control,Grocery,False,pre,1,77.17,0.0
2025-01-13,7172,Budget Occasional,Southeast,control,Grocery,False,pre,1,14.72,0.0
2025-01-13,4309,Mainstream,Southeast,treatment,Grocery,False,pre,1,20.46,0.0
2025-01-13,5610,Digital Native,Midwest,treatment,Dining,True,pre,1,12.02,0.0
2025-01-13,707,Affluent Frequent,Midwest,treatment,OnlineRetail,False,pre,1,69.27,0.0
2025-01-13,9245,Mainstream,Midwest,control,Travel,False,pre,1,118.01,0.0
2025-01-13,7748,Affluent Frequent,West,control,Fuel,False,pre,1,161.09,0.0
2025-01-13,9943,Affluent Frequent,West,treatment,OnlineRetail,False,pre,1,148.27,0.0
2025-01-13,9818,Mainstream,Northeast,treatment,Apparel,False,pre,1,108.66,0.0
2025-01-13,5216,Budget Occasional,Northeast,control,Fuel,False,pre,1,18.89,0.0
2025-01-13,3701,Mainstream,Northeast,treatment,Fuel,False,pre,1,36.48,0.0
2025-01-13,5038,Mainstream,Southeast,control,Grocery,False,pre,1,12.89,0.0
2025-01-13,7969,Affluent Frequent,Southeast,control,Dining,True,pre,1,39.6,0.0
2025-01-13,9312,Affluent Frequent,Southeast,control,Electronics,False,pre,1,297.51,0.0
2025-01-13,4332,Digital Native,Midwest,control,Dining,True,pre,1,25.23,0.0
2025-01-13,1013,Affluent Frequent,Southeast,control,Fuel,False,pre,1,32.83,0.0
2025-01-13,9852,Mainstream,Southeast,treatment,Dining,True,pre,1,64.55,0.0
2025-01-13,7438,Digital Native,West,treatment,Dining,True,pre,1,51.18,0.0
2025-01-13,5010,Mainstream,Northeast,treatment,Grocery,False,pre,1,29.78,0.0
2025-01-13,125,Digital Native,West,treatment,Dining,True,pre,1,23.49,0.0
2025-01-13,6497,Affluent Frequent,Midwest,control,Apparel,False,pre,1,35.51,0.0
2025-01-13,8391,Affluent Frequent,Northeast,treatment,Grocery,False,pre,1,37.92,0.0
2025-01-13,4640,Budget Occasional,Southeast,control,OnlineRetail,False,pre,1,85.08,0.0
2025-01-13,774,Affluent Frequent,Southwest,control,Entertainment,True,pre,1,118.3,0.0
2025-01-13,1554,Budget Occasional,West,control,Travel,False,pre,1,143.63,0.0
2025-01-13,2351,Mainstream,Southeast,treatment,Grocery,False,pre,1,14.3,0.0
2025-01-13,9750,Affluent Frequent,West,control,Entertainment,True,pre,1,24.47,0.0
2025-01-13,3849,Affluent Frequent,West,control,Apparel,False,pre,1,45.87,0.0
2025-01-13,2571,Digital Native,Southeast,treatment,Grocery,False,pre,1,15.45,0.0
2025-01-13,4347,Affluent Frequent,Northeast,treatment,Apparel,False,pre,1,70.68,0.0
2025-01-13,4195,Mainstream,West,control,Grocery,False,pre,1,43.25,0.0
2025-01-13,4113,Digital Native,Southeast,control,OnlineRetail,False,pre,1,29.76,0.0
2025-01-13,1370,Mainstream,West,treatment,Apparel,False,pre,1,106.99,0.0
2025-01-13,3094,Affluent Frequent,Midwest,treatment,Dining,True,pre,1,50.44,0.0
2025-01-13,8475,Digital Native,Southeast,treatment,Travel,False,pre,1,117.94,0.0
2025-01-13,3578,Digital Native,Northeast,control,Entertainment,True,pre,1,31.95,0.0
2025-01-13,2154,Affluent Frequent,Northeast,treatment,OnlineRetail,False,pre,1,239.95,0.0
2025-01-13,3450,Digital Native,West,control,Grocery,False,pre,1,39.02,0.0
2025-01-13,2025,Affluent Frequent,Midwest,treatment,OnlineRetail,False,pre,1,67.8,0.0
2025-01-13,9256,Mainstream,Southeast,treatment,Apparel,False,pre,1,91.3,0.0
2025-01-13,3396,Digital Native,Southeast,treatment,Dining,True,pre,1,10.76,0.0
2025-01-13,1684,Digital Native,Southwest,control,Fuel,False,pre,1,37.03,0.0
2025-01-13,7992,Digital Native,Southwest,treatment,Travel,False,pre,1,88.25,0.0
2025-01-13,4921,Digital Native,West,treatment,Entertainment,True,pre,1,71.88,0.0
2025-01-13,7035,Affluent Frequent,West,control,Grocery,False,pre,1,49.15,0.0
2025-01-13,8878,Digital Native,Midwest,treatment,Grocery,False,pre,1,20.35,0.0
2025-01-13,3921,Digital Native,Midwest,control,Travel,False,pre,1,96.88,0.0
2025-01-13,2420,Digital Native,Midwest,treatment,Dining,True,pre,1,21.42,0.0
2025-01-13,166,Mainstream,Midwest,treatment,Apparel,False,pre,1,38.25,0.0
2025-01-13,7011,Mainstream,Northeast,control,Dining,True,pre,1,37.87,0.0
2025-01-13,468,Budget Occasional,Southeast,control,Dining,True,pre,1,11.76,0.0
2025-01-13,6001,Budget Occasional,Northeast,treatment,Grocery,False,pre,1,26.61,0.0
2025-01-13,3723,Mainstream,West,control,Grocery,False,pre,1,12.51,0.0
2025-01-13,3037,Digital Native,Northeast,control,Dining,True,pre,1,12.08,0.0
2025-01-13,5888,Affluent Frequent,Midwest,treatment,OnlineRetail,False,pre,1,80.79,0.0
2025-01-13,1597,Affluent Frequent,Northeast,treatment,Travel,False,pre,1,259.01,0.0
2025-01-13,4809,Affluent Frequent,Northeast,control,Dining,True,pre,1,75.5,0.0
2025-01-13,7304,Affluent Frequent,Northeast,treatment,Grocery,False,pre,1,106.84,0.0
2025-01-13,7368,Budget Occasional,West,treatment,Travel,False,pre,1,134.47,0.0
2025-01-13,2213,Budget Occasional,Southeast,treatment,Electronics,False,pre,1,80.33,0.0
2025-01-13,7037,Mainstream,Midwest,control,Fuel,False,pre,1,11.69,0.0
2025-01-13,4349,Mainstream,West,treatment,Apparel,False,pre,1,71.49,0.0
2025-01-13,9206,Mainstream,West,control,Fuel,False,pre,1,14.53,0.0
2025-01-13,4139,Mainstream,Northeast,treatment,Fuel,False,pre,1,45.42,0.0
2025-01-13,5739,Affluent Frequent,Northeast,treatment,Entertainment,True,pre,1,36.65,0.0
2025-01-13,1227,Mainstream,Southwest,control,Grocery,False,pre,1,26.27,0.0
2025-01-13,7798,Budget Occasional,Midwest,treatment,Grocery,False,pre,1,15.85,0.0
2025-01-13,2085,Affluent Frequent,Midwest,control,Fuel,False,pre,1,93.09,0.0
2025-01-13,8820,Mainstream,Northeast,control,OnlineRetail,False,pre,1,137.94,0.0
2025-01-13,8421,Digital Native,Midwest,control,Dining,True,pre,1,15.5,0.0
2025-01-13,7732,Affluent Frequent,West,control,OnlineRetail,False,pre,1,125.25,0.0
2025-01-13,3615,Affluent Frequent,Northeast,control,Grocery,False,pre,1,42.67,0.0
2025-01-13,9604,Affluent Frequent,West,control,Fuel,False,pre,1,47.3,0.0
2025-01-13,1331,Dormant Reactivation,Southeast,treatment,Travel,False,pre,1,78.12,0.0
2025-01-13,6812,Mainstream,Midwest,treatment,Electronics,False,pre,1,96.75,0.0
2025-01-13,6579,Affluent Frequent,Southeast,treatment,Travel,False,pre,1,251.67,0.0
2025-01-13,1035,Mainstream,Northeast,treatment,Dining,True,pre,1,29.35,0.0
2025-01-13,6629,Mainstream,Northeast,control,Grocery,False,pre,1,36.74,0.0
2025-01-13,9684,Affluent Frequent,Northeast,treatment,Fuel,False,pre,1,38.25,0.0
2025-01-13,8359,Mainstream,Southeast,control,Apparel,False,pre,1,32.67,0.0
2025-01-13,6878,Affluent Frequent,Southeast,treatment,Grocery,False,pre,1,36.31,0.0
2025-01-13,5962,Mainstream,West,treatment,Fuel,False,pre,1,18.74,0.0
2025-01-13,8806,Mainstream,Southeast,control,Fuel,False,pre,1,14.79,0.0
2025-01-13,415,Mainstream,West,control,Grocery,False,pre,1,37.85,0.0
2025-01-13,4120,Affluent Frequent,Northeast,control,Dining,True,pre,1,78.61,0.0
2025-01-13,111,Mainstream,Southwest,treatment,Entertainment,True,pre,1,38.56,0.0
2025-01-13,8106,Affluent Frequent,Southeast,treatment,Dining,True,pre,1,101.83,0.0
2025-01-13,2499,Affluent Frequent,Southwest,treatment,Entertainment,True,pre,1,63.59,0.0
2025-01-13,5042,Affluent Frequent,Northeast,control,Entertainment,True,pre,1,90.68,0.0
2025-01-13,8729,Affluent Frequent,Northeast,control,Entertainment,True,pre,1,173.88,0.0
2025-01-13,6470,Affluent Frequent,Northeast,treatment,OnlineRetail,False,pre,1,86.48,0.0
2025-01-13,3749,Digital Native,Southeast,treatment,OnlineRetail,False,pre,1,38.35,0.0
2025-01-13,5706,Budget Occasional,West,treatment,Grocery,False,pre,1,16.0,0.0
2025-01-13,3852,Mainstream,Northeast,treatment,Grocery,False,pre,1,53.74,0.0
2025-01-13,6649,Digital Native,West,control,OnlineRetail,False,pre,1,35.75,0.0
2025-01-13,2722,Budget Occasional,Northeast,treatment,Grocery,False,pre,1,30.32,0.0
2025-01-13,446,Affluent Frequent,Midwest,control,Fuel,False,pre,1,33.98,0.0
2025-01-13,3708,Affluent Frequent,Midwest,treatment,Travel,False,pre,1,370.42,0.0
2025-01-13,9450,Mainstream,Southeast,treatment,Apparel,False,pre,1,50.28,0.0
2025-01-13,8888,Budget Occasional,Midwest,treatment,Fuel,False,pre,1,13.84,0.0
2025-01-13,6188,Dormant Reactivation,West,treatment,OnlineRetail,False,pre,1,31.02,0.0
2025-01-13,5928,Digital Native,Midwest,treatment,Grocery,False,pre,1,22.79,0.0
2025-01-13,4381,Affluent Frequent,Southeast,treatment,Electronics,False,pre,1,111.95,0.0
2025-01-13,3269,Mainstream,Southeast,control,Travel,False,pre,1,119.24,0.0
2025-01-13,617,Mainstream,Southwest,treatment,Fuel,False,pre,1,38.77,0.0
2025-01-13,9637,Digital Native,West,treatment,Fuel,False,pre,1,22.8,0.0
2025-01-13,5997,Mainstream,Midwest,control,OnlineRetail,False,pre,1,50.18,0.0
2025-01-13,5154,Affluent Frequent,Southwest,control,Apparel,False,pre,1,97.63,0.0
2025-01-13,8909,Mainstream,Southeast,treatment,Dining,True,pre,1,23.01,0.0
2025-01-13,2985,Mainstream,Southeast,treatment,Fuel,False,pre,1,13.46,0.0
2025-01-13,240,Affluent Frequent,Northeast,treatment,Dining,True,pre,1,56.4,0.0
2025-01-13,8814,Mainstream,Northeast,control,OnlineRetail,False,pre,1,139.55,0.0
2025-01-13,9191,Affluent Frequent,Southwest,treatment,Apparel,False,pre,1,78.34,0.0
2025-01-13,3876,Affluent Frequent,Midwest,control,Fuel,False,pre,1,51.39,0.0
2025-01-13,2069,Affluent Frequent,West,treatment,OnlineRetail,False,pre,1,118.54,0.0
2025-01-13,637,Mainstream,West,treatment,Grocery,False,pre,1,69.29,0.0
2025-01-13,5915,Affluent Frequent,Midwest,control,Electronics,False,pre,1,88.78,0.0
2025-01-13,8234,Mainstream,West,treatment,OnlineRetail,False,pre,1,47.27,0.0
2025-01-13,9878,Mainstream,Northeast,control,Travel,False,pre,1,141.02,0.0
2025-01-13,1335,Budget Occasional,Northeast,control,Grocery,False,pre,1,17.06,0.0
2025-01-13,3877,Digital Native,West,treatment,OnlineRetail,False,pre,1,48.97,0.0
2025-01-13,2724,Budget Occasional,West,treatment,Apparel,False,pre,1,25.62,0.0
2025-01-13,444,Affluent Frequent,Northeast,treatment,OnlineRetail,False,pre,1,157.71,0.0
2025-01-13,4005,Digital Native,Midwest,treatment,Grocery,False,pre,1,46.06,0.0
2025-01-13,444,Affluent Frequent,Northeast,treatment,OnlineRetail,False,pre,1,59.82,0.0
2025-01-13,2658,Mainstream,Southeast,treatment,Travel,False,pre,1,302.92,0.0
2025-01-13,9830,Affluent Frequent,Midwest,control,Electronics,False,pre,1,367.29,0.0
2025-01-13,610,Mainstream,Southeast,control,Fuel,False,pre,1,21.16,0.0
2025-01-13,2351,Mainstream,Southeast,treatment,Entertainment,True,pre,1,77.84,0.0
2025-01-13,6208,Mainstream,Southeast,control,Fuel,False,pre,1,43.61,0.0
2025-01-13,6956,Mainstream,Southeast,treatment,OnlineRetail,False,pre,1,28.92,0.0
2025-01-13,1741,Affluent Frequent,West,control,Dining,True,pre,1,95.62,0.0
2025-01-13,4654,Budget Occasional,Midwest,control,Grocery,False,pre,1,13.28,0.0
2025-01-13,3072,Mainstream,West,control,OnlineRetail,False,pre,1,133.54,0.0
2025-01-13,7662,Digital Native,West,control,Dining,True,pre,1,24.15,0.0
2025-01-13,3111,Digital Native,Northeast,treatment,Dining,True,pre,1,14.37,0.0
2025-01-13,9687,Mainstream,Southeast,treatment,Apparel,False,pre,1,25.6,0.0
2025-01-13,1199,Affluent Frequent,Southeast,treatment,Electronics,False,pre,1,228.07,0.0
2025-01-13,6409,Digital Native,Northeast,control,Dining,True,pre,1,13.31,0.0
2025-01-13,285,Affluent Frequent,West,control,OnlineRetail,False,pre,1,392.52,0.0
2025-01-13,1743,Affluent Frequent,West,treatment,Apparel,False,pre,1,59.1,0.0
2025-01-13,6437,Mainstream,Southeast,control,Fuel,False,pre,1,17.57,0.0
2025-01-13,9925,Affluent Frequent,Midwest,control,Apparel,False,pre,1,50.67,0.0
2025-01-13,5809,Mainstream,Southeast,treatment,Grocery,False,pre,1,127.6,0.0
2025-01-13,311,Dormant Reactivation,West,control,OnlineRetail,False,pre,1,46.94,0.0
2025-01-13,565,Affluent Frequent,West,control,Apparel,False,pre,1,145.52,0.0
2025-01-13,7526,Budget Occasional,Midwest,treatment,OnlineRetail,False,pre,1,17.96,0.0
2025-01-13,5307,Mainstream,Northeast,control,Apparel,False,pre,1,35.94,0.0
2025-01-13,8229,Mainstream,Southwest,control,Grocery,False,pre,1,41.76,0.0
2025-01-13,8086,Mainstream,West,treatment,Dining,True,pre,1,39.33,0.0
2025-01-13,8138,Mainstream,Southeast,control,OnlineRetail,False,pre,1,34.78,0.0
2025-01-13,6728,Digital Native,Midwest,control,Travel,False,pre,1,102.94,0.0
2025-01-13,3900,Mainstream,Midwest,treatment,Apparel,False,pre,1,107.85,0.0
2025-01-13,5409,Mainstream,Southeast,control,Grocery,False,pre,1,29.5,0.0
2025-01-13,8392,Affluent Frequent,Northeast,treatment,Apparel,False,pre,1,92.14,0.0
2025-01-13,9917,Mainstream,Midwest,treatment,Grocery,False,pre,1,51.14,0.0
2025-01-13,5194,Dormant Reactivation,Southwest,treatment,Grocery,False,pre,1,20.73,0.0
2025-01-13,9958,Mainstream,West,control,Apparel,False,pre,1,207.19,0.0
2025-01-13,2114,Mainstream,Northeast,treatment,Entertainment,True,pre,1,62.15,0.0
2025-01-13,4831,Digital Native,Southeast,treatment,Fuel,False,pre,1,21.49,0.0
2025-01-13,3564,Affluent Frequent,West,treatment,OnlineRetail,False,pre,1,101.06,0.0
2025-01-13,4105,Mainstream,Midwest,control,Travel,False,pre,1,102.84,0.0
2025-01-13,5684,Budget Occasional,Midwest,treatment,Travel,False,pre,1,51.09,0.0
2025-01-13,7168,Affluent Frequent,West,control,Dining,True,pre,1,34.75,0.0
2025-01-13,6617,Affluent Frequent,Northeast,treatment,OnlineRetail,False,pre,1,90.61,0.0
2025-01-13,9588,Digital Native,Northeast,treatment,Electronics,False,pre,1,86.9,0.0
2025-01-13,9620,Affluent Frequent,Southeast,treatment,Dining,True,pre,1,99.53,0.0
2025-01-13,3157,Affluent Frequent,West,treatment,OnlineRetail,False,pre,1,111.28,0.0
2025-01-13,814,Digital Native,Midwest,control,Fuel,False,pre,1,14.85,0.0
2025-01-13,9786,Affluent Frequent,Midwest,control,OnlineRetail,False,pre,1,152.99,0.0
2025-01-13,1897,Affluent Frequent,Midwest,treatment,Fuel,False,pre,1,15.5,0.0
2025-01-13,4279,Mainstream,Southeast,control,Fuel,False,pre,1,55.58,0.0
2025-01-13,9070,Budget Occasional,Northeast,treatment,Travel,False,pre,1,171.58,0.0
2025-01-13,7876,Budget Occasional,Northeast,treatment,Fuel,False,pre,1,9.32,0.0
2025-01-13,8612,Affluent Frequent,Midwest,treatment,OnlineRetail,False,pre,1,168.92,0.0
2025-01-13,2451,Mainstream,Northeast,control,Entertainment,True,pre,1,46.0,0.0
2025-01-13,6297,Budget Occasional,Northeast,treatment,Apparel,False,pre,1,59.58,0.0
2025-01-13,8547,Affluent Frequent,Midwest,treatment,Entertainment,True,pre,1,103.12,0.0
2025-01-13,324,Budget Occasional,West,control,Electronics,False,pre,1,92.67,0.0
2025-01-13,7352,Budget Occasional,Southeast,control,OnlineRetail,False,pre,1,31.45,0.0
2025-01-13,9250,Affluent Frequent,Midwest,control,Electronics,False,pre,1,122.44,0.0
2025-01-13,8231,Budget Occasional,Southeast,control,Electronics,False,pre,1,103.94,0.0
2025-01-13,4973,Mainstream,West,treatment,Electronics,False,pre,1,165.23,0.0
2025-01-13,9212,Budget Occasional,Southeast,control,Fuel,False,pre,1,20.14,0.0
2025-01-13,83,Digital Native,West,treatment,Electronics,False,pre,1,57.54,0.0
2025-01-13,4955,Budget Occasional,Midwest,treatment,OnlineRetail,False,pre,1,19.47,0.0
2025-01-13,5488,Affluent Frequent,West,control,OnlineRetail,False,pre,1,122.38,0.0
2025-01-13,7059,Affluent Frequent,West,treatment,Dining,True,pre,1,98.83,0.0
2025-01-13,4277,Digital Native,Northeast,treatment,Entertainment,True,pre,1,40.37,0.0
2025-01-13,7957,Mainstream,Midwest,control,Fuel,False,pre,1,55.93,0.0
2025-01-13,678,Mainstream,Midwest,treatment,Grocery,False,pre,1,21.3,0.0
2025-01-13,4537,Digital Native,West,treatment,Electronics,False,pre,1,158.05,0.0
2025-01-13,842,Affluent Frequent,Midwest,treatment,Electronics,False,pre,1,123.42,0.0
2025-01-13,4331,Budget Occasional,Southeast,treatment,Dining,True,pre,1,16.37,0.0
2025-01-13,3775,Mainstream,Southeast,control,Travel,False,pre,1,150.52,0.0
2025-01-13,3623,Affluent Frequent,Northeast,control,Dining,True,pre,1,27.19,0.0
2025-01-13,8810,Mainstream,Midwest,control,OnlineRetail,False,pre,1,30.24,0.0
2025-01-13,8564,Budget Occasional,Midwest,treatment,OnlineRetail,False,pre,1,23.17,0.0
2025-01-13,5474,Affluent Frequent,Southwest,control,OnlineRetail,False,pre,1,69.55,0.0
2025-01-13,4197,Affluent Frequent,West,treatment,OnlineRetail,False,pre,1,61.64,0.0
2025-01-13,3289,Digital Native,Northeast,treatment,Electronics,False,pre,1,118.67,0.0
2025-01-13,3256,Mainstream,West,treatment,OnlineRetail,False,pre,1,43.28,0.0
2025-01-13,3038,Affluent Frequent,Midwest,treatment,Grocery,False,pre,1,75.36,0.0
2025-01-13,4930,Mainstream,Southwest,treatment,Apparel,False,pre,1,76.79,0.0
2025-01-13,8469,Digital Native,Midwest,treatment,Grocery,False,pre,1,41.88,0.0
2025-01-13,8184,Digital Native,Northeast,treatment,OnlineRetail,False,pre,1,19.58,0.0
2025-01-13,8830,Budget Occasional,Northeast,treatment,Apparel,False,pre,1,70.02,0.0
2025-01-13,7301,Mainstream,Southwest,control,Grocery,False,pre,1,58.68,0.0
2025-01-13,3466,Mainstream,West,treatment,Entertainment,True,pre,1,54.82,0.0
2025-01-13,4019,Digital Native,Northeast,treatment,Fuel,False,pre,1,6.1,0.0
2025-01-13,423,Affluent Frequent,Southwest,control,Entertainment,True,pre,1,186.5,0.0
2025-01-13,3079,Digital Native,West,control,Dining,True,pre,1,17.29,0.0
2025-01-13,6326,Affluent Frequent,West,control,Fuel,False,pre,1,50.79,0.0
2025-01-13,6797,Digital Native,Northeast,control,Apparel,False,pre,1,111.58,0.0
2025-01-13,8262,Mainstream,Southwest,control,Fuel,False,pre,1,24.86,0.0
2025-01-13,7836,Affluent Frequent,West,control,Electronics,False,pre,1,97.41,0.0
2025-01-13,3684,Mainstream,Northeast,control,Fuel,False,pre,1,30.57,0.0
2025-01-13,2838,Budget Occasional,Midwest,treatment,Dining,True,pre,1,23.4,0.0
2025-01-13,6241,Mainstream,Northeast,treatment,Grocery,False,pre,1,24.22,0.0
2025-01-13,2760,Budget Occasional,Northeast,treatment,Apparel,False,pre,1,34.65,0.0
2025-01-13,6857,Mainstream,Northeast,control,Fuel,False,pre,1,21.54,0.0
2025-01-13,6417,Mainstream,Southwest,treatment,Grocery,False,pre,1,19.72,0.0
2025-01-13,3760,Mainstream,Northeast,treatment,Grocery,False,pre,1,24.7,0.0
2025-01-13,7850,Affluent Frequent,Midwest,treatment,Travel,False,pre,1,232.33,0.0
2025-01-13,1814,Digital Native,West,control,Dining,True,pre,1,41.82,0.0
2025-01-13,5589,Affluent Frequent,Southwest,control,Fuel,False,pre,1,29.88,0.0
2025-01-13,6387,Dormant Reactivation,Northeast,control,Fuel,False,pre,1,11.6,0.0
2025-01-13,9204,Affluent Frequent,Northeast,treatment,Grocery,False,pre,1,63.09,0.0
2025-01-13,9389,Budget Occasional,Northeast,treatment,Fuel,False,pre,1,20.41,0.0
2025-01-13,8740,Mainstream,West,control,Fuel,False,pre,1,27.47,0.0
2025-01-13,2020,Budget Occasional,West,control,Entertainment,True,pre,1,37.86,0.0
2025-01-13,2892,Digital Native,Southeast,control,Entertainment,True,pre,1,13.66,0.0
