customer_id,period,segment,region,test_group,spend,txns,eligible_spend
30,post,Digital Native,Midwest,control,1021.38,30.0,324.08
31,pre,Dormant Reactivation,Northeast,control,221.37,9.0,46.400000000000006
31,post,Dormant Reactivation,Northeast,control,307.3,8.0,17.23
32,pre,Mainstream,Southeast,treatment,956.15,16.0,121.51
32,post,Mainstream,Southeast,treatment,1494.83,22.0,116.09
33,pre,Dormant Reactivation,Midwest,treatment,315.39,9.0,18.44
33,post,Dormant Reactivation,Midwest,treatment,473.48,11.0,114.14
34,pre,Budget Occasional,Midwest,treatment,245.94,6.0,0.0
34,post,Budget Occasional,Midwest,treatment,340.66,9.0,50.71
35,pre,Mainstream,Northeast,treatment,429.25,10.0,35.58
35,post,Mainstream,Northeast,treatment,638.21,11.0,82.75
36,pre,Affluent Frequent,Southeast,control,2337.47,41.0,685.95
36,post,Affluent Frequent,Southeast,control,6482.71,65.0,1541.83
37,pre,Digital Native,Midwest,control,1196.45,31.0,188.85
37,post,Digital Native,Midwest,control,1798.99,29.0,189.46
38,pre,Affluent Frequent,Southwest,treatment,5530.27,69.0,1058.77
38,post,Affluent Frequent,Southwest,treatment,6125.58,64.0,917.25
39,pre,Digital Native,Southeast,treatment,783.41,19.0,196.49
39,post,Digital Native,Southeast,treatment,263.63,10.0,68.38
40,pre,Mainstream,Southeast,treatment,346.68,7.0,99.06
40,post,Mainstream,Southeast,treatment,425.42,9.0,184.61
41,pre,Budget Occasional,Midwest,control,223.07,7.0,46.75
41,post,Budget Occasional,Midwest,control,225.49,8.0,34.82
42,pre,Mainstream,West,control,2059.35,28.0,267.75
42,post,Mainstream,West,control,1493.9,25.0,239.59
43,pre,Mainstream,Northeast,control,1618.38,23.0,135.32
43,post,Mainstream,Northeast,control,1505.66,19.0,145.41
44,pre,Dormant Reactivation,Southwest,treatment,150.45999999999998,2.0,19.86
44,post,Dormant Reactivation,Southwest,treatment,197.46,5.0,37.06
45,pre,Digital Native,Southwest,control,247.15,10.0,66.14999999999999
45,post,Digital Native,Southwest,control,400.24,8.0,11.45
46,pre,Mainstream,West,treatment,1600.06,35.0,399.71
46,post,Mainstream,West,treatment,3861.48,59.0,760.31
47,pre,Mainstream,Northeast,treatment,261.85,6.0,80.21
47,post,Mainstream,Northeast,treatment,773.79,10.0,89.48
48,pre,Digital Native,Northeast,treatment,2130.85,55.0,528.58
48,post,Digital Native,Northeast,treatment,2158.76,52.0,796.36
49,pre,Budget Occasional,Midwest,treatment,1015.25,24.0,71.04
49,post,Budget Occasional,Midwest,treatment,617.95,16.0,79.56
50,pre,Dormant Reactivation,West,control,1202.22,18.0,65.4
50,post,Dormant Reactivation,West,control,756.31,22.0,60.03
51,pre,Mainstream,Midwest,treatment,3042.08,35.0,295.9
51,post,Mainstream,Midwest,treatment,1520.26,28.0,97.11
52,pre,Digital Native,Midwest,treatment,658.01,18.0,93.24
52,post,Digital Native,Midwest,treatment,567.05,18.0,121.64
53,pre,Mainstream,Southeast,treatment,590.4,11.0,105.54
53,post,Mainstream,Southeast,treatment,928.43,14.0,105.3
54,pre,Budget Occasional,Southeast,control,123.9,3.0,0.0
54,post,Budget Occasional,Southeast,control,272.07,10.0,41.31
55,pre,Mainstream,Northeast,control,980.84,21.0,341.61
55,post,Mainstream,Northeast,control,853.67,16.0,87.42
56,pre,Affluent Frequent,Southeast,treatment,5467.48,37.0,1036.49
56,post,Affluent Frequent,Southeast,treatment,3730.41,34.0,369.34
57,pre,Digital Native,Midwest,control,1113.83,21.0,227.88
57,post,Digital Native,Midwest,control,860.53,22.0,188.75
58,pre,Budget Occasional,Midwest,treatment,541.38,19.0,76.62
58,post,Budget Occasional,Midwest,treatment,645.63,17.0,88.78999999999999
59,pre,Budget Occasional,Southeast,treatment,359.42,12.0,0.0
59,post,Budget Occasional,Southeast,treatment,439.5,14.0,70.19
60,pre,Dormant Reactivation,Northeast,control,158.18,5.0,0.0
60,post,Dormant Reactivation,Northeast,control,190.69,2.0,0.0
61,pre,Digital Native,West,control,427.09,12.0,293.88
61,post,Digital Native,West,control,508.81,8.0,44.6
62,pre,Budget Occasional,Southeast,treatment,909.78,22.0,39.53
62,post,Budget Occasional,Southeast,treatment,521.69,18.0,60.02
63,pre,Dormant Reactivation,Northeast,treatment,69.61,4.0,37.46
63,post,Dormant Reactivation,Northeast,treatment,28.84,1.0,0.0
64,pre,Mainstream,Northeast,treatment,1567.42,24.0,282.3
64,post,Mainstream,Northeast,treatment,1378.26,28.0,455.9
65,pre,Affluent Frequent,Northeast,treatment,3837.37,41.0,1251.38
65,post,Affluent Frequent,Northeast,treatment,3657.22,41.0,1151.54
66,pre,Mainstream,Southeast,control,271.81,6.0,44.63
66,post,Mainstream,Southeast,control,605.14,6.0,69.44
67,pre,Budget Occasional,West,control,400.64,10.0,61.99
67,post,Budget Occasional,West,control,283.92,8.0,0.0
68,pre,Affluent Frequent,Midwest,treatment,1040.86,14.0,76.39
68,post,Affluent Frequent,Midwest,treatment,2052.38,20.0,779.74
69,pre,Dormant Reactivation,Northeast,control,363.25,12.0,13.96
69,post,Dormant Reactivation,Northeast,control,782.11,18.0,99.85
70,pre,Budget Occasional,Northeast,treatment,225.38,5.0,27.35
70,post,Budget Occasional,Northeast,treatment,220.22,6.0,22.42
71,pre,Mainstream,Southeast,treatment,989.94,22.0,135.04
71,post,Mainstream,Southeast,treatment,920.21,20.0,252.86
72,pre,Dormant Reactivation,Northeast,control,141.8,2.0,0.0
72,post,Dormant Reactivation,Northeast,control,262.84000000000003,7.0,32.74
73,pre,Mainstream,West,control,976.92,9.0,54.25
73,post,Mainstream,West,control,972.67,14.0,227.78
74,pre,Affluent Frequent,Midwest,treatment,772.97,12.0,334.1
74,post,Affluent Frequent,Midwest,treatment,1445.21,15.0,147.79
75,pre,Affluent Frequent,Northeast,treatment,4189.33,44.0,873.53
75,post,Affluent Frequent,Northeast,treatment,4845.62,45.0,1573.66
76,pre,Mainstream,Southwest,control,2585.73,35.0,187.84
76,post,Mainstream,Southwest,control,1192.85,26.0,104.4
77,pre,Mainstream,Southeast,treatment,1071.98,24.0,146.54
77,post,Mainstream,Southeast,treatment,1432.39,28.0,222.65
78,pre,Budget Occasional,West,control,567.59,14.0,21.51
78,post,Budget Occasional,West,control,687.18,13.0,61.54
79,pre,Affluent Frequent,Northeast,treatment,4417.69,40.0,643.0
79,post,Affluent Frequent,Northeast,treatment,4675.44,55.0,1162.5
80,pre,Affluent Frequent,West,control,841.1800000000001,8.0,203.55
80,post,Affluent Frequent,West,control,1489.54,11.0,140.97
81,pre,Digital Native,Southeast,treatment,932.81,22.0,247.35
81,post,Digital Native,Southeast,treatment,907.73,27.0,238.29
82,pre,Digital Native,Northeast,treatment,1082.74,20.0,178.77
82,post,Digital Native,Northeast,treatment,723.51,16.0,109.4
83,pre,Digital Native,West,treatment,1393.5,36.0,249.36
83,post,Digital Native,West,treatment,1720.06,37.0,439.59
84,pre,Dormant Reactivation,Midwest,treatment,38.04,1.0,0.0
84,post,Dormant Reactivation,Midwest,treatment,195.71,4.0,12.79
85,pre,Mainstream,Midwest,treatment,885.82,16.0,50.35
85,post,Mainstream,Midwest,treatment,981.68,15.0,187.98
86,pre,Budget Occasional,Midwest,control,143.94,3.0,0.0
86,post,Budget Occasional,Midwest,control,317.98,9.0,51.19
87,pre,Dormant Reactivation,Midwest,treatment,103.23,4.0,0.0
87,post,Dormant Reactivation,Midwest,treatment,442.58,8.0,0.0
88,pre,Affluent Frequent,Southwest,treatment,3475.07,45.0,620.46
88,post,Affluent Frequent,Southwest,treatment,3921.61,42.0,1482.66
89,pre,Budget Occasional,West,control,217.68,10.0,79.1
89,post,Budget Occasional,West,control,725.05,15.0,120.8
90,pre,Mainstream,West,control,1828.44,36.0,263.62
90,post,Mainstream,West,control,1591.89,21.0,225.96
91,pre,Mainstream,West,treatment,1429.65,26.0,447.61
91,post,Mainstream,West,treatment,786.35,14.0,171.86
92,pre,Digital Native,Southeast,control,1153.37,31.0,290.51
92,post,Digital Native,Southeast,control,1585.69,38.0,438.67
93,pre,Digital Native,West,treatment,1798.4,42.0,629.86
93,post,Digital Native,West,treatment,1765.29,34.0,252.24
94,pre,Digital Native,West,treatment,1758.75,34.0,290.72
94,post,Digital Native,West,treatment,1203.86,30.0,401.77
95,pre,Digital Native,West,treatment,631.32,15.0,151.68
95,post,Digital Native,West,treatment,1085.11,20.0,502.14
96,pre,Dormant Reactivation,West,control,305.66,6.0,0.0
96,post,Dormant Reactivation,West,control,56.6,1.0,0.0
97,pre,Budget Occasional,Midwest,treatment,273.08,8.0,8.94
97,post,Budget Occasional,Midwest,treatment,99.65,4.0,15.59
98,pre,Mainstream,West,control,1130.97,14.0,48.61
98,post,Mainstream,West,control,1256.11,19.0,368.09
99,pre,Budget Occasional,West,treatment,380.84,5.0,24.85
99,post,Budget Occasional,West,treatment,60.25,2.0,39.64
100,pre,Budget Occasional,Midwest,control,759.09,16.0,192.47
100,post,Budget Occasional,Midwest,control,439.49,13.0,17.0
101,pre,Mainstream,Northeast,control,494.29,9.0,111.73
101,post,Mainstream,Northeast,control,841.36,11.0,34.39
102,pre,Budget Occasional,Northeast,control,593.12,13.0,67.35
102,post,Budget Occasional,Northeast,control,447.88,15.0,56.65
103,pre,Dormant Reactivation,West,control,190.94,6.0,78.95
103,post,Dormant Reactivation,West,control,133.32999999999998,6.0,63.2
104,pre,Mainstream,Southwest,control,779.53,19.0,190.03
104,post,Mainstream,Southwest,control,1418.07,18.0,62.89
105,pre,Dormant Reactivation,Northeast,treatment,394.14,8.0,70.11
105,post,Dormant Reactivation,Northeast,treatment,94.6,2.0,0.0
106,pre,Dormant Reactivation,Southeast,control,72.96,3.0,15.17
106,post,Dormant Reactivation,Southeast,control,13.52,1.0,13.52
107,pre,Digital Native,Southeast,treatment,1331.04,32.0,167.03
107,post,Digital Native,Southeast,treatment,1472.78,40.0,476.77
108,pre,Dormant Reactivation,Midwest,control,425.5,9.0,63.400000000000006
108,post,Dormant Reactivation,Midwest,control,132.05,4.0,0.0
109,pre,Affluent Frequent,Southeast,control,3864.45,37.0,660.77
109,post,Affluent Frequent,Southeast,control,4760.25,45.0,804.22
110,pre,Mainstream,Midwest,treatment,1554.01,23.0,248.32
110,post,Mainstream,Midwest,treatment,1464.35,25.0,120.52
111,pre,Mainstream,Southwest,treatment,1185.36,21.0,224.11
111,post,Mainstream,Southwest,treatment,1299.11,28.0,161.05
112,pre,Mainstream,Southeast,treatment,904.28,15.0,102.05
112,post,Mainstream,Southeast,treatment,958.43,16.0,116.08
113,pre,Budget Occasional,Northeast,control,275.65,8.0,10.0
113,post,Budget Occasional,Northeast,control,671.14,17.0,11.13
114,pre,Mainstream,West,control,162.07999999999998,5.0,64.62
114,post,Mainstream,West,control,306.96,6.0,11.09
115,pre,Affluent Frequent,Midwest,control,879.57,10.0,151.15
115,post,Affluent Frequent,Midwest,control,897.52,11.0,181.88
116,pre,Mainstream,Southwest,treatment,1184.47,20.0,275.26
116,post,Mainstream,Southwest,treatment,1335.13,21.0,96.24
117,pre,Budget Occasional,Northeast,treatment,665.22,18.0,122.21
117,post,Budget Occasional,Northeast,treatment,606.15,18.0,128.79
118,pre,Affluent Frequent,Southeast,treatment,6148.03,72.0,1499.1
118,post,Affluent Frequent,Southeast,treatment,4078.36,56.0,958.53
119,pre,Mainstream,Midwest,control,1716.48,24.0,216.94
119,post,Mainstream,Midwest,control,2835.57,35.0,484.97
120,pre,Mainstream,Southwest,treatment,1153.71,18.0,163.98000000000002
120,post,Mainstream,Southwest,treatment,1139.43,20.0,255.63
121,pre,Mainstream,Midwest,control,1212.1,12.0,31.45
121,post,Mainstream,Midwest,control,1147.36,17.0,242.71
122,pre,Digital Native,Southwest,control,1661.05,34.0,239.55
122,post,Digital Native,Southwest,control,1311.2,30.0,220.32
123,pre,Budget Occasional,West,treatment,475.26,12.0,0.0
123,post,Budget Occasional,West,treatment,205.18,5.0,37.32
124,pre,Affluent Frequent,Southeast,control,5093.38,52.0,875.14
124,post,Affluent Frequent,Southeast,control,4728.04,47.0,1112.19
125,pre,Digital Native,West,treatment,2091.39,55.0,766.59
125,post,Digital Native,West,treatment,2807.93,58.0,775.98
126,pre,Mainstream,Northeast,treatment,524.59,9.0,174.05
126,post,Mainstream,Northeast,treatment,908.33,17.0,71.30000000000001
127,pre,Affluent Frequent,West,control,4770.96,59.0,977.16
127,post,Affluent Frequent,West,control,7235.37,76.0,1727.97
128,pre,Dormant Reactivation,Northeast,control,131.71,3.0,9.91
128,post,Dormant Reactivation,Northeast,control,51.82,3.0,10.54
129,pre,Affluent Frequent,Midwest,control,3716.41,43.0,656.92
129,post,Affluent Frequent,Midwest,control,3064.92,33.0,500.15
130,pre,Affluent Frequent,West,control,992.24,14.0,358.51
130,post,Affluent Frequent,West,control,1317.18,9.0,397.43
131,pre,Budget Occasional,Northeast,control,351.64,16.0,125.15
131,post,Budget Occasional,Northeast,control,362.46,7.0,0.0
132,pre,Budget Occasional,Northeast,control,789.08,21.0,121.58
132,post,Budget Occasional,Northeast,control,819.96,24.0,73.16
133,pre,Mainstream,Northeast,control,2863.43,36.0,332.92
133,post,Mainstream,Northeast,control,1898.13,29.0,140.07999999999998
134,pre,Mainstream,Midwest,treatment,1933.4,28.0,636.22
134,post,Mainstream,Midwest,treatment,1939.88,36.0,291.51
135,pre,Digital Native,West,treatment,2444.32,53.0,335.92
135,post,Digital Native,West,treatment,2533.96,59.0,916.53
136,pre,Affluent Frequent,Southwest,treatment,4011.86,32.0,80.58
136,post,Affluent Frequent,Southwest,treatment,3655.57,41.0,1093.3
137,pre,Budget Occasional,Northeast,control,324.59000000000003,9.0,0.0
137,post,Budget Occasional,Northeast,control,355.29,9.0,23.71
138,pre,Budget Occasional,Northeast,treatment,338.98,6.0,20.88
138,post,Budget Occasional,Northeast,treatment,250.72,8.0,23.94
139,pre,Affluent Frequent,Northeast,treatment,5690.7,62.0,1244.75
139,post,Affluent Frequent,Northeast,treatment,7633.52,73.0,1152.24
140,pre,Dormant Reactivation,Southwest,control,89.99,2.0,0.0
140,post,Dormant Reactivation,Southwest,control,109.24,3.0,48.52
141,pre,Mainstream,Southeast,treatment,53.63,1.0,0.0
141,post,Mainstream,Southeast,treatment,66.97,2.0,23.98
142,pre,Budget Occasional,West,control,765.05,12.0,133.45999999999998
142,post,Budget Occasional,West,control,905.44,17.0,16.85
143,pre,Budget Occasional,Northeast,treatment,26.68,1.0,0.0
143,post,Budget Occasional,Northeast,treatment,69.97,4.0,10.75
144,pre,Dormant Reactivation,Northeast,control,325.55,6.0,50.09
144,post,Dormant Reactivation,Northeast,control,397.12,8.0,35.01
145,pre,Budget Occasional,Southeast,treatment,177.4,6.0,19.16
145,post,Budget Occasional,Southeast,treatment,191.55,6.0,51.88
146,pre,Budget Occasional,Southeast,control,381.69,9.0,46.04
146,post,Budget Occasional,Southeast,control,419.76,9.0,26.65
147,pre,Affluent Frequent,West,control,8505.5,79.0,2202.82
147,post,Affluent Frequent,West,control,12002.38,99.0,1749.64
148,pre,Budget Occasional,West,control,200.5,6.0,0.0
148,post,Budget Occasional,West,control,109.88,4.0,43.33
149,pre,Digital Native,Midwest,control,618.93,14.0,71.22999999999999
149,post,Digital Native,Midwest,control,1264.71,32.0,132.48000000000002
150,pre,Affluent Frequent,Southwest,control,3374.91,44.0,880.81
150,post,Affluent Frequent,Southwest,control,4355.63,49.0,907.34
151,pre,Affluent Frequent,West,control,6803.26,73.0,1880.86
151,post,Affluent Frequent,West,control,5723.04,59.0,1327.36
152,pre,Digital Native,West,control,3182.27,58.0,924.2
152,post,Digital Native,West,control,2573.86,44.0,738.31
153,pre,Budget Occasional,West,treatment,1076.0,31.0,97.8
153,post,Budget Occasional,West,treatment,497.4500000000001,13.0,0.0
154,pre,Digital Native,Southwest,control,2822.83,63.0,437.64
154,post,Digital Native,Southwest,control,1193.75,39.0,253.78
155,pre,Mainstream,Southeast,treatment,1933.68,34.0,385.63
155,post,Mainstream,Southeast,treatment,1552.76,31.0,174.69
156,pre,Affluent Frequent,West,treatment,1214.04,11.0,251.81
156,post,Affluent Frequent,West,treatment,439.54,6.0,103.94
157,pre,Mainstream,Southeast,treatment,2265.36,21.0,56.15
157,post,Mainstream,Southeast,treatment,1632.98,29.0,329.01
158,pre,Affluent Frequent,Southeast,treatment,1608.3,17.0,614.02
158,post,Affluent Frequent,Southeast,treatment,1976.76,18.0,456.86
159,pre,Affluent Frequent,West,treatment,3618.22,31.0,471.0
159,post,Affluent Frequent,West,treatment,5267.26,53.0,1356.93
160,pre,Mainstream,Southeast,control,564.8,11.0,0.0
160,post,Mainstream,Southeast,control,788.69,15.0,105.67
161,pre,Budget Occasional,Southeast,control,360.97,11.0,29.14
161,post,Budget Occasional,Southeast,control,382.08,14.0,25.05
162,pre,Dormant Reactivation,West,control,422.5,11.0,133.42000000000002
162,post,Dormant Reactivation,West,control,546.04,15.0,129.82
163,pre,Mainstream,Northeast,treatment,304.93,6.0,66.39
163,post,Mainstream,Northeast,treatment,370.75,4.0,50.78
164,pre,Digital Native,West,treatment,1616.48,42.0,411.66
164,post,Digital Native,West,treatment,2237.66,43.0,699.7
165,pre,Dormant Reactivation,Southwest,control,168.82999999999998,6.0,20.42
165,post,Dormant Reactivation,Southwest,control,232.22,6.0,0.0
166,pre,Mainstream,Midwest,treatment,545.53,12.0,16.56
166,post,Mainstream,Midwest,treatment,914.79,21.0,225.84
167,pre,Dormant Reactivation,Northeast,treatment,236.8,7.0,20.83
167,post,Dormant Reactivation,Northeast,treatment,414.22,13.0,70.37
168,pre,Mainstream,West,treatment,562.85,7.0,72.46000000000001
168,post,Mainstream,West,treatment,566.01,10.0,102.65
169,pre,Budget Occasional,Southeast,control,31.62,1.0,0.0
169,post,Budget Occasional,Southeast,control,264.98,10.0,44.61
170,pre,Digital Native,Midwest,treatment,483.02,13.0,236.63
170,post,Digital Native,Midwest,treatment,1096.13,15.0,229.48
171,pre,Budget Occasional,West,treatment,273.95,11.0,48.96
171,post,Budget Occasional,West,treatment,306.58,7.0,48.59
172,pre,Mainstream,Southeast,treatment,1579.9,27.0,144.81
172,post,Mainstream,Southeast,treatment,1652.27,30.0,151.44
173,pre,Dormant Reactivation,Southwest,treatment,14.95,1.0,0.0
173,post,Dormant Reactivation,Southwest,treatment,86.56,3.0,29.95
174,pre,Budget Occasional,Southwest,control,53.15,1.0,0.0
174,post,Budget Occasional,Southwest,control,103.04,2.0,0.0
175,pre,Affluent Frequent,Midwest,control,1718.18,17.0,449.87
175,post,Affluent Frequent,Midwest,control,1559.57,16.0,421.38
176,pre,Digital Native,Southeast,treatment,982.39,28.0,243.58
176,post,Digital Native,Southeast,treatment,894.75,29.0,316.49
177,pre,Mainstream,Southeast,control,1449.4,23.0,199.02
177,post,Mainstream,Southeast,control,2371.01,37.0,227.57
178,pre,Affluent Frequent,Northeast,control,3956.9,41.0,621.68
178,post,Affluent Frequent,Northeast,control,3770.03,35.0,831.79
179,pre,Mainstream,Midwest,treatment,2306.11,42.0,337.64
179,post,Mainstream,Midwest,treatment,1804.4,41.0,575.05
180,pre,Mainstream,West,treatment,1671.78,18.0,113.65
180,post,Mainstream,West,treatment,787.55,17.0,67.84
181,pre,Budget Occasional,Southwest,treatment,44.63,2.0,0.0
181,post,Budget Occasional,Southwest,treatment,96.78,3.0,36.77
182,pre,Affluent Frequent,West,control,1995.13,18.0,495.66
182,post,Affluent Frequent,West,control,1306.23,13.0,180.55
183,pre,Dormant Reactivation,Southeast,treatment,63.86,2.0,32.26
183,post,Dormant Reactivation,Southeast,treatment,112.51,3.0,0.0
184,pre,Mainstream,West,control,1189.42,18.0,169.06
184,post,Mainstream,West,control,1305.31,21.0,293.76
185,pre,Digital Native,Midwest,treatment,2319.98,62.0,454.86
185,post,Digital Native,Midwest,treatment,2316.58,60.0,836.75
186,pre,Affluent Frequent,West,treatment,4162.54,37.0,898.42
186,post,Affluent Frequent,West,treatment,4480.13,41.0,889.62
187,pre,Digital Native,Midwest,treatment,356.29,12.0,257.31
187,post,Digital Native,Midwest,treatment,693.35,17.0,144.87
188,pre,Mainstream,Northeast,treatment,3253.32,56.0,398.36
188,post,Mainstream,Northeast,treatment,4272.27,58.0,561.08
189,pre,Dormant Reactivation,Northeast,treatment,286.33,5.0,28.1
189,post,Dormant Reactivation,Northeast,treatment,502.91,10.0,70.03
190,pre,Mainstream,West,treatment,894.17,15.0,64.39000000000001
190,post,Mainstream,West,treatment,1221.82,13.0,310.29
191,pre,Digital Native,Northeast,treatment,753.8299999999999,22.0,328.58
191,post,Digital Native,Northeast,treatment,558.8100000000001,16.0,131.16
192,pre,Budget Occasional,West,treatment,367.26,11.0,50.24
192,post,Budget Occasional,West,treatment,443.51,13.0,159.8
193,pre,Budget Occasional,West,control,304.28,9.0,28.71
193,post,Budget Occasional,West,control,402.25,14.0,160.67000000000002
194,pre,Budget Occasional,Southeast,treatment,298.04,6.0,9.45
194,post,Budget Occasional,Southeast,treatment,113.29,5.0,18.58
195,pre,Digital Native,Southeast,treatment,570.91,13.0,78.28
195,post,Digital Native,Southeast,treatment,734.5,25.0,173.67
196,pre,Digital Native,Midwest,control,896.96,21.0,263.03
196,post,Digital Native,Midwest,control,911.46,22.0,197.78
197,pre,Budget Occasional,West,treatment,649.0600000000001,18.0,108.71
197,post,Budget Occasional,West,treatment,780.32,25.0,137.18
198,pre,Mainstream,Midwest,control,841.82,14.0,94.41
198,post,Mainstream,Midwest,control,442.01,7.0,96.73
199,pre,Budget Occasional,West,control,450.84,15.0,114.99
199,post,Budget Occasional,West,control,1534.17,19.0,0.0
200,pre,Digital Native,West,treatment,1373.83,26.0,260.71
200,post,Digital Native,West,treatment,1040.38,30.0,360.66
201,pre,Dormant Reactivation,Southwest,treatment,581.66,11.0,28.74
201,post,Dormant Reactivation,Southwest,treatment,214.57,8.0,0.0
202,pre,Budget Occasional,West,treatment,995.05,22.0,39.94
202,post,Budget Occasional,West,treatment,487.57,12.0,59.05
203,pre,Affluent Frequent,Southeast,control,1152.92,14.0,177.8
203,post,Affluent Frequent,Southeast,control,1122.81,12.0,117.01
204,pre,Affluent Frequent,Midwest,control,6593.91,65.0,915.2
204,post,Affluent Frequent,Midwest,control,4912.81,45.0,693.29
205,pre,Budget Occasional,Southeast,control,418.97,14.0,30.66
205,post,Budget Occasional,Southeast,control,433.46,12.0,126.41
206,pre,Mainstream,Southwest,control,1274.6,25.0,287.79
206,post,Mainstream,Southwest,control,757.98,15.0,136.4
207,pre,Dormant Reactivation,Northeast,control,300.21000000000004,5.0,53.98
207,post,Dormant Reactivation,Northeast,control,303.43,7.0,0.0
208,pre,Dormant Reactivation,West,treatment,90.32,3.0,28.56
208,post,Dormant Reactivation,West,treatment,50.89,2.0,9.5
209,pre,Mainstream,Midwest,control,1261.53,19.0,376.86
209,post,Mainstream,Midwest,control,738.75,15.0,65.91
210,pre,Mainstream,Northeast,control,1745.57,24.0,127.8
210,post,Mainstream,Northeast,control,1938.42,33.0,493.13
211,pre,Mainstream,Northeast,control,1657.78,17.0,81.17
211,post,Mainstream,Northeast,control,1151.16,23.0,200.41
212,pre,Digital Native,West,control,2239.81,57.0,728.34
212,post,Digital Native,West,control,2916.33,52.0,545.13
213,pre,Affluent Frequent,West,treatment,5695.93,59.0,1491.44
213,post,Affluent Frequent,West,treatment,7480.06,65.0,1175.96
214,pre,Mainstream,Southwest,treatment,377.93,9.0,77.36
214,post,Mainstream,Southwest,treatment,493.55,12.0,56.97
215,pre,Digital Native,Northeast,control,728.52,22.0,321.76
215,post,Digital Native,Northeast,control,1073.06,21.0,338.65
216,pre,Affluent Frequent,Southeast,treatment,2376.07,17.0,249.59
216,post,Affluent Frequent,Southeast,treatment,2296.93,18.0,242.49
217,pre,Budget Occasional,Northeast,treatment,427.04,10.0,53.74
