customer_id,segment,region,group,tenure_months,activity_index
120,Mainstream,Southwest,treatment,64,0.6838
121,Mainstream,Midwest,control,21,0.6493
122,Digital Native,Southwest,control,108,0.9205
123,Budget Occasional,West,treatment,116,0.963
124,Affluent Frequent,Southeast,control,91,1.2253
125,Digital Native,West,treatment,28,1.2354
126,Mainstream,Northeast,treatment,110,0.6417
127,Affluent Frequent,West,control,112,1.5214
128,Dormant Reactivation,Northeast,control,12,0.3311
129,Affluent Frequent,Midwest,control,20,1.0291
130,Affluent Frequent,West,control,4,0.2297
131,Budget Occasional,Northeast,control,67,0.7532
132,Budget Occasional,Northeast,control,109,1.6147
133,Mainstream,Northeast,control,35,1.2798
134,Mainstream,Midwest,treatment,106,1.5994
135,Digital Native,West,treatment,51,1.5223
136,Affluent Frequent,Southwest,treatment,68,1.1759
137,Budget Occasional,Northeast,control,15,0.8529
138,Budget Occasional,Northeast,treatment,88,0.7231
139,Affluent Frequent,Northeast,treatment,81,1.6207
140,Dormant Reactivation,Southwest,control,13,0.3808
141,Mainstream,Southeast,treatment,12,0.1268
142,Budget Occasional,West,control,31,1.5844
143,Budget Occasional,Northeast,treatment,97,0.3212
144,Dormant Reactivation,Northeast,control,52,1.3103
145,Budget Occasional,Southeast,treatment,40,0.5915
146,Budget Occasional,Southeast,control,61,1.0968
147,Affluent Frequent,West,control,52,2.028
148,Budget Occasional,West,control,6,0.5723
149,Digital Native,Midwest,control,104,0.906
150,Affluent Frequent,Southwest,control,30,1.6043
151,Affluent Frequent,West,control,29,1.6441
152,Digital Native,West,control,73,1.29
153,Budget Occasional,West,treatment,73,1.8076
154,Digital Native,Southwest,control,114,2.0326
155,Mainstream,Southeast,treatment,48,1.3919
156,Affluent Frequent,West,treatment,117,0.2722
157,Mainstream,Southeast,treatment,37,1.2033
158,Affluent Frequent,Southeast,treatment,71,0.4473
159,Affluent Frequent,West,treatment,83,1.0445
160,Mainstream,Southeast,control,34,0.5246
161,Budget Occasional,Southeast,control,32,1.0262
162,Dormant Reactivation,West,control,89,1.9422
163,Mainstream,Northeast,treatment,21,0.2229
164,Digital Native,West,treatment,13,1.0216
165,Dormant Reactivation,Southwest,control,55,1.0088
166,Mainstream,Midwest,treatment,95,0.8431
167,Dormant Reactivation,Northeast,treatment,64,1.2925
168,Mainstream,West,treatment,57,0.2852
169,Budget Occasional,Southeast,control,78,0.5978
170,Digital Native,Midwest,treatment,77,0.4279
171,Budget Occasional,West,treatment,120,0.8776
172,Mainstream,Southeast,treatment,87,1.3002
173,Dormant Reactivation,Southwest,treatment,67,0.6441
174,Budget Occasional,Southwest,control,10,0.2303
175,Affluent Frequent,Midwest,control,37,0.4414
176,Digital Native,Southeast,treatment,26,0.7327
177,Mainstream,Southeast,control,28,1.3427
178,Affluent Frequent,Northeast,control,108,0.8563
179,Mainstream,Midwest,treatment,60,1.9386
180,Mainstream,West,treatment,85,0.6203
181,Budget Occasional,Southwest,treatment,90,0.1507
182,Affluent Frequent,West,control,64,0.3485
183,Dormant Reactivation,Southeast,treatment,75,0.6268
184,Mainstream,West,control,65,0.9712
185,Digital Native,Midwest,treatment,95,1.7587
186,Affluent Frequent,West,treatment,14,0.8922
187,Digital Native,Midwest,treatment,20,0.4578
188,Mainstream,Northeast,treatment,102,2.2467
189,Dormant Reactivation,Northeast,treatment,111,1.109
190,Mainstream,West,treatment,4,0.7302
191,Digital Native,Northeast,treatment,85,0.5702
192,Budget Occasional,West,treatment,69,1.4152
193,Budget Occasional,West,control,88,0.894
194,Budget Occasional,Southeast,treatment,41,0.6148
195,Digital Native,Southeast,treatment,58,0.4553
196,Digital Native,Midwest,control,10,0.7745
197,Budget Occasional,West,treatment,115,1.5935
198,Mainstream,Midwest,control,95,0.5824
199,Budget Occasional,West,control,55,1.303
200,Digital Native,West,treatment,54,1.1293
201,Dormant Reactivation,Southwest,treatment,108,1.3364
202,Budget Occasional,West,treatment,33,1.3117
203,Affluent Frequent,Southeast,control,15,0.3793
204,Affluent Frequent,Midwest,control,8,1.3524
205,Budget Occasional,Southeast,control,10,1.2418
206,Mainstream,Southwest,control,10,1.1557
207,Dormant Reactivation,Northeast,control,102,0.8858
208,Dormant Reactivation,West,treatment,4,0.4417
209,Mainstream,Midwest,control,91,0.8885
210,Mainstream,Northeast,control,16,1.4045
211,Mainstream,Northeast,control,15,1.1281
212,Digital Native,West,control,33,1.6072
213,Affluent Frequent,West,treatment,82,1.6053
214,Mainstream,Southwest,treatment,44,0.7381
215,Digital Native,Northeast,control,83,0.6459
216,Affluent Frequent,Southeast,treatment,103,0.4879
217,Budget Occasional,Northeast,treatment,114,1.3354
218,Mainstream,Midwest,control,64,1.1729
219,Dormant Reactivation,Northeast,treatment,50,1.0169
220,Mainstream,Southwest,control,5,1.1035
221,Budget Occasional,Southwest,treatment,97,1.7929
222,Affluent Frequent,Southeast,treatment,29,0.5022
223,Budget Occasional,Southeast,treatment,44,0.7886
224,Budget Occasional,West,treatment,15,1.0076
225,Mainstream,Southeast,control,82,0.543
226,Mainstream,West,treatment,31,0.4572
227,Mainstream,Northeast,control,93,3.5597
228,Dormant Reactivation,Southeast,control,84,0.7081
229,Affluent Frequent,West,treatment,62,0.6819
230,Budget Occasional,West,control,80,0.3179
231,Mainstream,Northeast,control,49,0.5941
232,Budget Occasional,Northeast,treatment,27,1.3323
233,Mainstream,Southeast,control,37,2.0168
234,Budget Occasional,Southeast,treatment,106,0.4774
235,Budget Occasional,Southwest,control,31,0.4534
236,Budget Occasional,Southwest,control,81,1.3227
237,Affluent Frequent,Northeast,control,112,0.7125
238,Affluent Frequent,Northeast,control,93,1.089
239,Mainstream,West,control,93,0.5561
240,Affluent Frequent,Northeast,treatment,18,0.9263
241,Mainstream,Midwest,control,52,0.5985
242,Budget Occasional,Midwest,treatment,17,0.8588
243,Mainstream,West,control,55,0.283
244,Budget Occasional,Southwest,control,61,1.9224
245,Budget Occasional,West,treatment,10,1.6322
246,Mainstream,Northeast,treatment,57,0.8177
247,Mainstream,West,control,101,1.0083
248,Digital Native,West,control,7,1.0617
249,Affluent Frequent,Midwest,control,109,0.753
250,Mainstream,Midwest,treatment,40,0.2983
251,Digital Native,Northeast,control,60,1.6117
252,Mainstream,Midwest,treatment,26,0.8411
253,Digital Native,West,treatment,3,0.6478
254,Mainstream,Northeast,control,45,1.0071
255,Budget Occasional,Northeast,control,36,1.1129
256,Digital Native,Northeast,control,54,1.2659
257,Mainstream,West,treatment,109,0.4347
258,Mainstream,West,control,19,0.5902
259,Digital Native,West,treatment,102,1.4535
260,Dormant Reactivation,Southeast,treatment,103,0.9669
261,Digital Native,Southeast,control,64,1.3669
262,Mainstream,Midwest,treatment,101,1.3898
263,Mainstream,Midwest,treatment,112,0.4624
264,Mainstream,Southwest,treatment,9,2.0688
265,Mainstream,Southeast,control,24,1.3715
266,Budget Occasional,Northeast,treatment,8,1.4575
267,Affluent Frequent,Northeast,control,55,0.9226
268,Budget Occasional,Southeast,control,18,0.7739
269,Affluent Frequent,Southeast,control,95,0.3468
270,Affluent Frequent,Southeast,treatment,108,0.4773
271,Budget Occasional,West,control,64,1.0565
272,Dormant Reactivation,Southeast,control,10,0.5441
273,Budget Occasional,Northeast,treatment,17,0.4937
274,Budget Occasional,West,control,97,1.6522
275,Mainstream,Northeast,treatment,47,0.9436
276,Mainstream,West,control,81,0.8492
277,Budget Occasional,Southeast,treatment,112,0.3894
278,Dormant Reactivation,Midwest,control,46,0.8479
279,Affluent Frequent,Midwest,treatment,40,1.105
280,Budget Occasional,Midwest,control,113,0.4736
281,Mainstream,West,treatment,88,1.8647
282,Mainstream,Northeast,control,37,0.6333
283,Budget Occasional,Southeast,treatment,62,0.7197
284,Digital Native,Midwest,treatment,83,1.2742
285,Affluent Frequent,West,control,72,1.2547
286,Digital Native,Midwest,treatment,119,1.3318
287,Mainstream,Southeast,treatment,111,1.4952
288,Affluent Frequent,Southeast,control,6,1.1066
289,Budget Occasional,Southwest,control,9,0.8336
290,Digital Native,Southwest,treatment,26,0.5937
291,Digital Native,Northeast,treatment,61,1.3151
292,Digital Native,Southwest,control,29,1.5695
293,Dormant Reactivation,West,control,84,2.3347
294,Budget Occasional,Southeast,treatment,108,1.3125
295,Mainstream,Northeast,treatment,39,0.3803
296,Mainstream,Southeast,treatment,106,1.7807
297,Affluent Frequent,Southwest,treatment,111,1.6261
298,Mainstream,Midwest,control,19,1.1546
299,Digital Native,Midwest,treatment,30,0.5246
300,Dormant Reactivation,Northeast,control,33,0.6484
301,Budget Occasional,Midwest,control,114,1.2627
302,Budget Occasional,Northeast,treatment,61,2.8178
303,Dormant Reactivation,West,treatment,55,0.458
304,Dormant Reactivation,Southeast,treatment,59,0.6759
305,Affluent Frequent,Northeast,treatment,75,0.7276
306,Budget Occasional,West,control,104,1.0085
307,Mainstream,West,control,99,0.5069
308,Budget Occasional,Southeast,control,31,1.8415
309,Mainstream,West,treatment,58,1.0312
310,Budget Occasional,Midwest,control,70,1.2735
311,Dormant Reactivation,West,control,120,3.1378
312,Digital Native,Southeast,control,101,2.0249
313,Budget Occasional,West,treatment,83,0.4731
314,Budget Occasional,Northeast,treatment,36,0.6922
315,Affluent Frequent,Midwest,treatment,72,1.0223
316,Mainstream,West,treatment,30,0.7397
317,Digital Native,Northeast,control,92,1.5708
318,Mainstream,West,control,3,0.8515
319,Mainstream,Northeast,treatment,113,1.6262
320,Dormant Reactivation,Southwest,treatment,101,0.4035
321,Dormant Reactivation,West,treatment,34,0.8839
322,Affluent Frequent,Southwest,control,84,1.1479
323,Digital Native,West,treatment,27,1.706
324,Budget Occasional,West,control,85,1.7297
325,Dormant Reactivation,West,treatment,39,0.862
326,Digital Native,Midwest,control,21,0.8836
327,Mainstream,Southwest,control,89,1.0174
328,Budget Occasional,Northeast,treatment,104,1.1298
329,Budget Occasional,Southwest,control,40,1.2177
330,Mainstream,Midwest,control,109,0.7332
331,Affluent Frequent,Southwest,control,49,0.5643
332,Mainstream,Southeast,control,41,0.2254
333,Budget Occasional,West,treatment,58,0.7189
334,Affluent Frequent,Northeast,treatment,91,0.8944
335,Mainstream,Northeast,control,52,1.3392
336,Budget Occasional,Northeast,control,29,0.9207
337,Digital Native,Midwest,control,6,1.0767
338,Budget Occasional,Midwest,treatment,39,1.1759
339,Budget Occasional,West,control,52,0.5398
340,Mainstream,West,treatment,64,1.9298
341,Mainstream,Northeast,control,5,1.5177
342,Mainstream,West,control,107,0.7751
343,Mainstream,Southeast,control,52,1.1007
344,Mainstream,West,control,64,1.578
345,Mainstream,Southeast,control,32,1.3166
346,Affluent Frequent,Midwest,control,84,0.6974
347,Affluent Frequent,West,control,81,1.1588
348,Mainstream,Midwest,control,95,1.935
349,Digital Native,Southeast,treatment,68,1.1943
350,Digital Native,West,treatment,47,1.0797
351,Mainstream,Midwest,treatment,25,0.5619
352,Mainstream,Northeast,control,53,0.2669
353,Budget Occasional,Southwest,control,70,1.0952
354,Digital Native,Southeast,treatment,70,0.707
355,Mainstream,Northeast,control,84,0.4754
356,Budget Occasional,Southeast,treatment,64,1.2319
357,Budget Occasional,Northeast,control,117,1.6713
358,Mainstream,Southeast,control,16,0.5965
359,Affluent Frequent,Southeast,control,40,0.7513
360,Affluent Frequent,Southeast,treatment,58,0.9511
361,Budget Occasional,West,treatment,100,1.0488
362,Affluent Frequent,Midwest,treatment,69,0.4451
363,Affluent Frequent,Southeast,control,88,0.2156
364,Affluent Frequent,Northeast,control,90,1.0393
365,Mainstream,Northeast,control,9,0.8681
366,Budget Occasional,Southwest,control,54,1.2461
367,Dormant Reactivation,Southwest,control,36,0.905
368,Budget Occasional,West,control,30,1.1869
369,Budget Occasional,Southwest,control,34,0.6263
370,Affluent Frequent,Northeast,control,42,1.6958
371,Mainstream,Midwest,control,98,0.9361
372,Budget Occasional,Southeast,control,19,0.7165
373,Dormant Reactivation,Southeast,control,3,0.4393
374,Affluent Frequent,West,control,23,0.8134
375,Digital Native,Northeast,treatment,47,0.8987
376,Digital Native,Northeast,treatment,107,0.7972
377,Digital Native,Midwest,treatment,39,0.7801
378,Mainstream,Southwest,treatment,15,1.2769
379,Digital Native,Northeast,treatment,52,1.2639
380,Mainstream,Southeast,treatment,48,0.6026
381,Mainstream,Midwest,control,93,0.317
382,Budget Occasional,Southeast,control,44,1.319
383,Affluent Frequent,West,treatment,77,0.2843
384,Budget Occasional,West,treatment,89,0.4755
385,Budget Occasional,Southeast,treatment,33,1.0174
386,Digital Native,Northeast,treatment,29,0.2462
387,Budget Occasional,Northeast,treatment,90,1.1743
388,Budget Occasional,Northeast,control,41,0.6109
389,Mainstream,Midwest,treatment,3,1.4938
390,Dormant Reactivation,Northeast,treatment,112,0.9766
391,Budget Occasional,West,control,67,1.0309
392,Affluent Frequent,Southeast,control,49,0.5378
393,Affluent Frequent,Midwest,treatment,114,1.1056
394,Mainstream,Midwest,treatment,74,0.935
395,Mainstream,Southwest,treatment,44,0.5317
396,Mainstream,Northeast,control,85,1.1881
397,Mainstream,Northeast,treatment,37,0.7671
398,Mainstream,Southeast,treatment,92,0.5718
399,Affluent Frequent,West,control,49,0.9116
400,Budget Occasional,West,control,42,1.118
401,Budget Occasional,Northeast,treatment,82,1.2461
402,Budget Occasional,Northeast,treatment,88,0.3856
403,Mainstream,Midwest,control,66,2.354
404,Mainstream,West,treatment,28,0.2657
405,Budget Occasional,Southeast,control,24,0.4029
406,Mainstream,Southwest,treatment,33,0.6998
407,Budget Occasional,Northeast,treatment,47,1.4399
408,Dormant Reactivation,Southeast,treatment,96,0.685
409,Budget Occasional,Midwest,treatment,89,1.5224
410,Dormant Reactivation,Southeast,treatment,45,0.6261
411,Budget Occasional,Midwest,treatment,83,1.6967
412,Dormant Reactivation,Southeast,treatment,18,1.5768
413,Dormant Reactivation,Southeast,treatment,7,0.3965
414,Digital Native,West,treatment,54,0.5963
415,Mainstream,West,control,80,0.6528
416,Budget Occasional,West,control,74,2.0837
417,Budget Occasional,Southeast,treatment,85,1.7881
418,Budget Occasional,Southeast,treatment,70,0.6742
419,Mainstream,West,control,65,1.7957
420,Digital Native,West,control,32,0.9453
421,Mainstream,West,treatment,91,1.2284
422,Digital Native,Southeast,treatment,44,0.739
423,Affluent Frequent,Southwest,control,32,1.2419
424,Mainstream,Northeast,control,55,0.5485
425,Affluent Frequent,Northeast,control,55,0.6409
426,Dormant Reactivation,Northeast,treatment,66,1.678
427,Mainstream,Southwest,treatment,55,0.9867
428,Mainstream,Northeast,control,37,0.7117
429,Dormant Reactivation,West,control,11,0.4887
430,Budget Occasional,Northeast,treatment,82,0.761
431,Mainstream,West,control,75,0.7713
432,Budget Occasional,Southeast,treatment,89,2.3829
433,Digital Native,Midwest,treatment,10,1.5647
434,Budget Occasional,Midwest,control,77,0.3154
435,Budget Occasional,Northeast,treatment,105,3.3279
436,Affluent Frequent,West,treatment,3,0.7677
437,Mainstream,Midwest,control,6,0.6495
438,Budget Occasional,Southeast,treatment,102,0.336
439,Digital Native,Midwest,treatment,53,0.4723
440,Budget Occasional,Midwest,treatment,28,1.0125
441,Dormant Reactivation,Southwest,control,34,0.9839
442,Budget Occasional,Northeast,control,18,0.5361
443,Budget Occasional,West,treatment,6,0.7265
444,Affluent Frequent,Northeast,treatment,73,1.2553
445,Digital Native,Southeast,treatment,28,1.0475
446,Affluent Frequent,Midwest,control,83,1.4964
447,Budget Occasional,Midwest,control,79,0.4366
448,Digital Native,Northeast,control,53,1.551
449,Mainstream,Midwest,treatment,17,1.7418
450,Budget Occasional,Southeast,control,79,1.5049
451,Affluent Frequent,Northeast,treatment,26,0.6255
452,Budget Occasional,Southeast,control,30,0.9352
453,Budget Occasional,Southeast,treatment,6,0.6563
454,Budget Occasional,Northeast,control,51,0.9259
455,Budget Occasional,Southwest,control,62,0.7778
456,Affluent Frequent,West,treatment,59,0.7012
457,Mainstream,Southwest,control,19,0.3319
458,Budget Occasional,Southeast,treatment,34,1.7012
459,Mainstream,Southeast,control,85,0.9422
460,Digital Native,West,control,28,0.7158
461,Mainstream,Southwest,treatment,41,0.4485
462,Mainstream,West,treatment,48,0.5891
463,Dormant Reactivation,Southwest,treatment,89,1.2899
464,Budget Occasional,Northeast,treatment,21,1.3062
465,Affluent Frequent,West,treatment,91,1.3507
466,Budget Occasional,Southwest,control,35,1.4603
467,Mainstream,West,control,6,0.774
468,Budget Occasional,Southeast,control,86,0.5163
469,Mainstream,Midwest,control,118,1.0752
470,Dormant Reactivation,Southeast,control,30,0.8267
471,Digital Native,Northeast,control,82,0.3022
472,Digital Native,Northeast,control,64,1.8302
473,Budget Occasional,Southeast,control,59,1.371
474,Budget Occasional,Southeast,control,41,1.0722
475,Digital Native,West,treatment,14,1.5956
476,Budget Occasional,Northeast,control,54,1.3413
477,Digital Native,Northeast,control,43,0.9002
478,Dormant Reactivation,Midwest,control,6,1.0538
479,Affluent Frequent,Midwest,control,70,1.247
480,Affluent Frequent,West,treatment,22,0.329
481,Mainstream,Midwest,treatment,94,1.2091
482,Budget Occasional,West,control,40,0.646
483,Digital Native,Southeast,control,110,2.6091
484,Budget Occasional,Midwest,control,46,1.1172
485,Budget Occasional,Midwest,control,18,1.9573
486,Mainstream,Midwest,control,55,0.3313
487,Digital Native,Southeast,control,110,1.0291
488,Dormant Reactivation,Midwest,treatment,77,1.3424
489,Budget Occasional,West,treatment,12,0.7878
490,Mainstream,Midwest,treatment,33,0.6169
491,Digital Native,Southeast,treatment,112,1.4277
492,Digital Native,Southwest,control,64,0.8348
493,Budget Occasional,Southwest,control,106,0.8951
494,Budget Occasional,Northeast,control,76,0.7716
495,Mainstream,Midwest,control,10,1.8104
496,Dormant Reactivation,Midwest,treatment,95,1.5316
497,Dormant Reactivation,Midwest,control,115,1.7464
498,Affluent Frequent,Midwest,treatment,43,0.5678
499,Affluent Frequent,Northeast,treatment,18,0.705
500,Mainstream,Midwest,control,67,0.3333
501,Mainstream,Southwest,control,27,1.1031
502,Digital Native,Northeast,treatment,35,1.2545
503,Budget Occasional,West,treatment,30,0.9332
504,Dormant Reactivation,Midwest,control,94,1.251
505,Dormant Reactivation,Southeast,control,98,0.514
506,Mainstream,Northeast,control,25,0.9203
507,Mainstream,Northeast,control,76,1.6632
508,Mainstream,West,treatment,118,0.4083
509,Budget Occasional,Southwest,treatment,120,1.1827
510,Digital Native,Southeast,control,29,2.5279
511,Mainstream,Southeast,control,31,1.0294
512,Budget Occasional,West,control,101,1.336
513,Budget Occasional,Northeast,treatment,44,0.9876
514,Mainstream,Northeast,control,65,1.5229
515,Dormant Reactivation,Southeast,treatment,62,0.5237
516,Affluent Frequent,Midwest,treatment,48,0.4358
517,Affluent Frequent,West,control,12,0.7547
518,Mainstream,Midwest,treatment,89,0.9461
519,Affluent Frequent,Southwest,treatment,50,1.0363
520,Budget Occasional,Southeast,control,92,0.7642
521,Budget Occasional,Southeast,control,12,0.6804
522,Budget Occasional,Northeast,control,63,0.3896
523,Mainstream,Southeast,treatment,91,0.9088
524,Affluent Frequent,Midwest,control,109,1.6144
525,Digital Native,Northeast,treatment,66,0.549
526,Dormant Reactivation,Midwest,control,8,0.5143
527,Digital Native,West,control,97,1.1169
528,Mainstream,Northeast,treatment,36,1.3681
529,Mainstream,Northeast,control,41,1.1543
530,Mainstream,Northeast,treatment,65,0.7714
531,Mainstream,Northeast,control,59,2.4584
532,Dormant Reactivation,Southeast,treatment,18,0.5056
533,Mainstream,West,control,37,1.4026
534,Mainstream,Midwest,control,48,1.1293
535,Affluent Frequent,Northeast,treatment,40,1.5521
536,Budget Occasional,Southwest,treatment,80,1.1748
537,Budget Occasional,Midwest,control,115,1.4051
538,Digital Native,Midwest,control,92,0.393
539,Budget Occasional,Southeast,treatment,16,0.615
540,Budget Occasional,Northeast,treatment,31,0.8457
541,Budget Occasional,Midwest,treatment,65,0.9257
542,Affluent Frequent,Midwest,treatment,114,1.2492
543,Affluent Frequent,Southeast,treatment,69,0.6938
544,Digital Native,Southwest,control,58,0.8901
545,Digital Native,Northeast,control,59,0.6738
546,Affluent Frequent,Midwest,treatment,42,1.0795
547,Affluent Frequent,Northeast,control,52,1.8189
548,Mainstream,West,control,77,0.8823
549,Dormant Reactivation,West,treatment,55,0.6941
550,Dormant Reactivation,Midwest,treatment,4,0.6955
551,Mainstream,West,control,79,1.403
552,Affluent Frequent,Southeast,treatment,107,0.9834
553,Affluent Frequent,Southeast,control,81,2.5651
554,Budget Occasional,Southwest,control,25,1.2752
555,Budget Occasional,Southeast,control,90,1.3212
556,Mainstream,Midwest,control,69,1.2193
557,Mainstream,Southeast,treatment,70,0.6522
558,Mainstream,Southeast,control,78,0.7138
559,Mainstream,Midwest,treatment,17,0.4265
560,Mainstream,Northeast,treatment,80,2.5306
561,Affluent Frequent,West,treatment,36,0.2552
562,Mainstream,Southwest,treatment,93,1.1678
563,Dormant Reactivation,West,treatment,77,0.474
564,Budget Occasional,Northeast,control,17,1.1063
565,Affluent Frequent,West,control,13,0.7712
566,Dormant Reactivation,Northeast,control,40,1.0652
567,Mainstream,West,control,57,0.4968
568,Digital Native,Southwest,treatment,66,0.7548
569,Digital Native,Midwest,treatment,28,1.8693
570,Affluent Frequent,West,control,33,1.9229
571,Digital Native,Northeast,treatment,118,0.6714
572,Mainstream,Midwest,control,114,0.9797
573,Mainstream,Southeast,control,106,1.0911
574,Mainstream,Northeast,control,90,0.6647
575,Dormant Reactivation,Northeast,control,91,1.0172
576,Mainstream,Midwest,treatment,29,1.3673
577,Mainstream,Southeast,control,91,1.9363
578,Affluent Frequent,West,control,114,0.6914
579,Digital Native,Northeast,treatment,37,1.2942
580,Mainstream,Midwest,treatment,92,1.1461
581,Dormant Reactivation,Southeast,control,111,1.02
582,Mainstream,Southeast,treatment,77,1.2138
583,Affluent Frequent,Midwest,treatment,45,0.7587
584,Budget Occasional,Midwest,control,67,1.4559
585,Budget Occasional,Southeast,treatment,79,0.7927
586,Affluent Frequent,Northeast,treatment,39,1.3212
587,Mainstream,Southwest,treatment,120,1.2693
588,Mainstream,Southeast,treatment,7,0.2078
